STATECODE,LabelSchoolNameShort,LabelSchoolNameLong,DSTCODE,DISTRICTNAME,SchNameDistName,GRADECONFIG,ADDRESS,CITY,ZIP,CHARTER,CORECITY5,CORECITY6,MCSCHOOL,MCELEM,GRCONFIG,ELEM,MIDDLE,HIGH
10116,Hennessey,Agnes B. Hennessey School,10,East Providence,"Hennessey, East Providence",Elementary School,75 Fort Street,East Providence,02914,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
26122,Agnes Little,Agnes E. Little School,26,Pawtucket,"Agnes Little, Pawtucket",Elementary School,60 South Bend Street,Pawtucket,02860,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
28116,Alan Shawn Feinstein Elem,Alan Shawn Feinstein Elem.,28,Providence,"Alan Shawn Feinstein Elem, Providence",Elementary School,1450 Broad Street,Providence,02905,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
06104,Alan Shawn Feinstein MS of C,Alan Shawn Feinstein MS of Co,06,Coventry,"Alan Shawn Feinstein MS of C, Coventry",Middle School,15 Foster Dr,Coventry,02816,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,06 - 08,,MIDDLE,
35118,Aldrich Jr High,Aldrich Junior High,35,Warwick,"Aldrich Jr High, Warwick",Middle School,789 Post Road,Warwick,02888,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,07 - 08,,MIDDLE,
28121,Lima,"Alfred Lima, Sr. El School",28,Providence,"Lima, Providence",Elementary School,222 Daboll Street,Providence,02907,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,02 - 06,ELEM,,
28103,Lima Annex,"Alfred Lima, Sr. El.  Annex",28,Providence,"Lima Annex, Providence",Elementary School,65 Greenwich Street,Providence,02907,Non-Charter,Core City (5),Core City (6),Making Connections School,Making Connections Elem School,PK - 01,ELEM,,
31105,McCabe,Anna M. McCabe School,31,Smithfield,"McCabe, Smithfield",Elementary School,100 Pleasant View Avenue,Smithfield,02917,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 05,ELEM,,
28181,Carnevale,Anthony Carnevale Elementary,28,Providence,"Carnevale, Providence",Elementary School,50 Springfield Street,Providence,02909,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
19106,Aquidneck,Aquidneck School,19,Middletown,"Aquidneck, Middletown",Elementary School,70 Reservoir Avenue,Middletown,02842,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 04,ELEM,,
09103,Cole MS,Archie R. Cole MS,09,East Greenwich,"Cole MS, East Greenwich",Middle School,100 Cedar Avenue,East Greenwich,02818,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,07 - 08,,MIDDLE,
07125,Arlington,Arlington School,07,Cranston,"Arlington, Cranston",Elementary School,155 Princess Avenue,Cranston,02920,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
28159,Asa Messer Annex,Asa Messer Annex,28,Providence,"Asa Messer Annex, Providence",Elementary School,245 Althea Street,Providence,02909,Non-Charter,Core City (5),Core City (6),Making Connections School,Making Connections Elem School,K - 01,ELEM,,
28115,Asa Messer,Asa Messer El. School,28,Providence,"Asa Messer, Providence",Elementary School,158 Messer Street,Providence,02909,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,02 - 05,ELEM,,
98106,Ashaway Elem,Ashaway Elementary School,98,Chariho,"Ashaway Elem, Chariho",Elementary School,12A Hillside Avenue,Ashaway,02804,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 04,ELEM,,
08112,Ashton,Ashton School,08,Cumberland,"Ashton, Cumberland",Elementary School,130 Scott Road,Cumberland,02864,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
03108,Levy,Austin T. Levy School,03,Burrillville,"Levy, Burrillville",Elementary School,135 Harrisville Main Stree,Burrillville,02830,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 01,ELEM,,
08107,BF Norton,B.F. Norton Elementary School,08,Cumberland,"BF Norton, Cumberland",Elementary School,364 Broad Street,Cumberland,02864,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
01106,Barrington HS,Barrington High School,01,Barrington,"Barrington HS, Barrington",High School,220 Lincoln Ave,Barrington,02806,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
01108,Barrington MS,Barrington Middle School,01,Barrington,"Barrington MS, Barrington",Middle School,Middle Highway,Barrington,02806,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,06 - 08,,MIDDLE,
39601,BEACON Charter HS,BEACON Charter School,58,Beacon Charter,"BEACON Charter HS, Beacon Charter",High School,320 Main Street,Woonsocket,02895,Charter School,Core City (5),Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
39118,Bernon Heights,Bernon Heights School,39,Woonsocket,"Bernon Heights, Woonsocket",Elementary School,657 Logee Street,Woonsocket,02895,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
