STATECODE0809,LabelSchoolNameShort0809,LabelSchoolNameLong0809,DSTCODE0809,DISTRICTNAME0809,SchNameDistName0809,GRADECONFIG0809,Enr0809,ADDRESS0809,CITY0809,ZIP0809,CHARTER0809,CORECITY50809,CORECITY60809,MCSCHOOL0809,MCELEM0809,GRCONFIG_20809,STATECODE0708,LabelSchoolNameShort0708,LabelSchoolNameLong0708,DSTCODE0708,DISTRICTNAME0708,SchNameDistName0708,GRADECONFIG0708,Enr0708,ADDRESS0708,CITY0708,ZIP0708,CHARTER0708,CORECITY50708,CORECITY60708,MCSCHOOL0708,MCELEM0708,GRCONFIG_20708,STATECODE0607,LabelSchoolNameShort0607,LabelSchoolNameLong0607,DSTCODE0607,DISTRICTNAME0607,SchNameDistName0607,GRADECONFIG0607,Enr0607,ADDRESS0607,CITY0607,ZIP0607,CHARTER0607,CORECITY50607,CORECITY60607,MCSCHOOL0607,MCELEM0607,GRCONFIG_20607,STATECODE0506,LabelSchoolNameShort0506,LabelSchoolNameLong0506,DSTCODE0506,DISTRICTNAME0506,SchNameDistName0506,GRADECONFIG0506,Enr0506,ADDRESS0506,CITY0506,ZIP0506,CHARTER0506,CORECITY50506,CORECITY60506,MCSCHOOL0506,MCELEM0506,GRCONFIG_20506,STATECODE0405,LabelSchoolNameShort0405,LabelSchoolNameLong0405,DSTCODE0405,DISTRICTNAME0405,SchNameDistName0405,GRADECONFIG0405,Enr0405,ADDRESS0405,CITY0405,ZIP0405,CHARTER0405,CORECITY50405,CORECITY60405,MCSCHOOL0405,MCELEM0405,GRCONFIG_20405
01103,Primrose Hill,Primrose Hill School,01,Barrington,"Primrose Hill, Barrington",Elementary School,355,Middle Highway,Barrington,02806,0,0,0,0,0,PK - 03,01103,Primrose Hill,Primrose Hill School,01,Barrington,"Primrose Hill, Barrington",Elementary School,355,Middle Highway,Barrington,02806,0,0,0,0,0,PK - 03,01103,Primrose Hill,Primrose Hill School,01,Barrington,"Primrose Hill, Barrington",Elementary School,355,Middle Highway,Barrington,02806,0,0,0,0,0,PK - 03,01103,Primrose Hill,Primrose Hill School,01,Barrington,"Primrose Hill, Barrington",Elementary School,355,Middle Highway,Barrington,02806,0,0,0,0,0,PK - 03,01103,Primrose Hill,Primrose Hill School,01,Barrington,"Primrose Hill, Barrington",Elementary School,355,Middle Highway,Barrington,02806,0,0,0,0,0,PK - 03
01104,Nayatt School,Nayatt School,01,Barrington,"Nayatt School, Barrington",Elementary School,394,400 Nayatt Rd,Barrington,02806,0,0,0,0,0,PK - 03,01104,Nayatt School,Nayatt School,01,Barrington,"Nayatt School, Barrington",Elementary School,394,400 Nayatt Rd,Barrington,02806,0,0,0,0,0,PK - 03,01104,Nayatt School,Nayatt School,01,Barrington,"Nayatt School, Barrington",Elementary School,394,400 Nayatt Rd,Barrington,02806,0,0,0,0,0,PK - 03,01104,Nayatt School,Nayatt School,01,Barrington,"Nayatt School, Barrington",Elementary School,394,400 Nayatt Rd,Barrington,02806,0,0,0,0,0,PK - 03,01104,Nayatt School,Nayatt School,01,Barrington,"Nayatt School, Barrington",Elementary School,394,400 Nayatt Rd,Barrington,02806,0,0,0,0,0,PK - 03
01105,Hampden Meadows,Hampden Meadows School,01,Barrington,"Hampden Meadows, Barrington",Elementary School,476,New Meadow Rd,Barrington,02806,0,0,0,0,0,04 - 05,01105,Hampden Meadows,Hampden Meadows School,01,Barrington,"Hampden Meadows, Barrington",Elementary School,476,New Meadow Rd,Barrington,02806,0,0,0,0,0,04 - 05,01105,Hampden Meadows,Hampden Meadows School,01,Barrington,"Hampden Meadows, Barrington",Elementary School,476,New Meadow Rd,Barrington,02806,0,0,0,0,0,04 - 05,01105,Hampden Meadows,Hampden Meadows School,01,Barrington,"Hampden Meadows, Barrington",Elementary School,476,New Meadow Rd,Barrington,02806,0,0,0,0,0,04 - 05,01105,Hampden Meadows,Hampden Meadows School,01,Barrington,"Hampden Meadows, Barrington",Elementary School,476,New Meadow Rd,Barrington,02806,0,0,0,0,0,04 - 05
01106,Barrington High,Barrington High School,01,Barrington,"Barrington High, Barrington",High School,1171,220 Lincoln Ave,Barrington,02806,0,0,0,0,0,09 - 12,01106,Barrington High,Barrington High School,01,Barrington,"Barrington High, Barrington",High School,1171,220 Lincoln Ave,Barrington,02806,0,0,0,0,0,09 - 12,01106,Barrington High,Barrington High School,01,Barrington,"Barrington High, Barrington",High School,1171,220 Lincoln Ave,Barrington,02806,0,0,0,0,0,09 - 12,01106,Barrington High,Barrington High School,01,Barrington,"Barrington High, Barrington",High School,1171,220 Lincoln Ave,Barrington,02806,0,0,0,0,0,09 - 12,01106,Barrington High,Barrington High School,01,Barrington,"Barrington High, Barrington",High School,1171,220 Lincoln Ave,Barrington,02806,0,0,0,0,0,09 - 12
01108,Barrington Mid.,Barrington Middle School,01,Barrington,"Barrington Mid., Barrington",Middle School,812,Middle Highway,Barrington,02806,0,0,0,0,0,06 - 08,01108,Barrington Mid.,Barrington Middle School,01,Barrington,"Barrington Mid., Barrington",Middle School,812,Middle Highway,Barrington,02806,0,0,0,0,0,06 - 08,01108,Barrington Mid.,Barrington Middle School,01,Barrington,"Barrington Mid., Barrington",Middle School,812,Middle Highway,Barrington,02806,0,0,0,0,0,06 - 08,01108,Barrington Mid.,Barrington Middle School,01,Barrington,"Barrington Mid., Barrington",Middle School,812,Middle Highway,Barrington,02806,0,0,0,0,0,06 - 08,01108,Barrington Mid.,Barrington Middle School,01,Barrington,"Barrington Mid., Barrington",Middle School,812,Middle Highway,Barrington,02806,0,0,0,0,0,06 - 08
01109,Sowams School,Sowams Elementary School,01,Barrington,"Sowams School, Barrington",Elementary School,271,364 Sowams Rd,Barrington,02806,0,0,0,0,0,K - 03,01109,Sowams School,Sowams Elementary School,01,Barrington,"Sowams School, Barrington",Elementary School,271,364 Sowams Rd,Barrington,02806,0,0,0,0,0,K - 03,01109,Sowams School,Sowams Elementary School,01,Barrington,"Sowams School, Barrington",Elementary School,271,364 Sowams Rd,Barrington,02806,0,0,0,0,0,K - 03,01109,Sowams School,Sowams Elementary School,01,Barrington,"Sowams School, Barrington",Elementary School,271,364 Sowams Rd,Barrington,02806,0,0,0,0,0,K - 03,01109,Sowams School,Sowams Elementary School,01,Barrington,"Sowams School, Barrington",Elementary School,271,364 Sowams Rd,Barrington,02806,0,0,0,0,0,K - 03
03104,Burrillville MS,Burrillville Middle School,03,Burrillville,"Burrillville MS, Burrillville",Middle School,560,2220 Bronco Highway,Burrillville,02830,0,0,0,0,0,06 - 08,03104,Burrillville MS,Burrillville Middle School,03,Burrillville,"Burrillville MS, Burrillville",Middle School,560,2220 Bronco Highway,Burrillville,02830,0,0,0,0,0,06 - 08,03104,Burrillville MS,Burrillville Middle School,03,Burrillville,"Burrillville MS, Burrillville",Middle School,560,2220 Bronco Highway,Burrillville,02830,0,0,0,0,0,06 - 08,03104,Burrillville MS,Burrillville Middle School,03,Burrillville,"Burrillville MS, Burrillville",Middle School,560,2220 Bronco Highway,Burrillville,02830,0,0,0,0,0,06 - 08,03104,Burrillville MS,Burrillville Middle School,03,Burrillville,"Burrillville MS, Burrillville",Middle School,560,2220 Bronco Highway,Burrillville,02830,0,0,0,0,0,06 - 08
03105,Steere Farm,Steere Farm Elementary School,03,Burrillville,"Steere Farm, Burrillville",Elementary School,494,915 Steere Farm Road,Burrillville,02859,0,0,0,0,0,PK - 05,03105,Steere Farm,Steere Farm Elementary School,03,Burrillville,"Steere Farm, Burrillville",Elementary School,494,915 Steere Farm Road,Burrillville,02859,0,0,0,0,0,PK - 05,03105,Steere Farm,Steere Farm Elementary School,03,Burrillville,"Steere Farm, Burrillville",Elementary School,494,915 Steere Farm Road,Burrillville,02859,0,0,0,0,0,PK - 05,03105,Steere Farm,Steere Farm Elementary School,03,Burrillville,"Steere Farm, Burrillville",Elementary School,494,915 Steere Farm Road,Burrillville,02859,0,0,0,0,0,PK - 05,03105,Steere Farm,Steere Farm Elementary School,03,Burrillville,"Steere Farm, Burrillville",Elementary School,494,915 Steere Farm Road,Burrillville,02859,0,0,0,0,0,PK - 05
03107,Callahan School,William Callahan School,03,Burrillville,"Callahan School, Burrillville",Elementary School,356,75 Callahan School St,Burrillville,02830,0,0,0,0,0,02 - 05,03107,Callahan School,William Callahan School,03,Burrillville,"Callahan School, Burrillville",Elementary School,356,75 Callahan School St,Burrillville,02830,0,0,0,0,0,02 - 05,03107,Callahan School,William Callahan School,03,Burrillville,"Callahan School, Burrillville",Elementary School,356,75 Callahan School St,Burrillville,02830,0,0,0,0,0,02 - 05,03107,Callahan School,William Callahan School,03,Burrillville,"Callahan School, Burrillville",Elementary School,356,75 Callahan School St,Burrillville,02830,0,0,0,0,0,02 - 05,03107,Callahan School,William Callahan School,03,Burrillville,"Callahan School, Burrillville",Elementary School,356,75 Callahan School St,Burrillville,02830,0,0,0,0,0,02 - 05
03108,Levy School,Austin T. Levy School,03,Burrillville,"Levy School, Burrillville",Elementary School,425,135 Harrisville Main Stree,Burrillville,02830,0,0,0,0,0,K - 01,03108,Levy School,Austin T. Levy School,03,Burrillville,"Levy School, Burrillville",Elementary School,425,135 Harrisville Main Stree,Burrillville,02830,0,0,0,0,0,K - 01,03108,Levy School,Austin T. Levy School,03,Burrillville,"Levy School, Burrillville",Elementary School,425,135 Harrisville Main Stree,Burrillville,02830,0,0,0,0,0,K - 01,03108,Levy School,Austin T. Levy School,03,Burrillville,"Levy School, Burrillville",Elementary School,425,135 Harrisville Main Stree,Burrillville,02830,0,0,0,0,0,K - 01,03108,Levy School,Austin T. Levy School,03,Burrillville,"Levy School, Burrillville",Elementary School,425,135 Harrisville Main Stree,Burrillville,02830,0,0,0,0,0,K - 01
