schcode,4yrcohortN07,4YrcGradrate07,4YrcDroprate07,4YrcGEDrate07,4YrcRetrate07
28192,10,10.0,50.0,0.0,40.0
28113,9,,,,
28168,30,26.7,63.3,10.0,0.0
01106,290,95.9,1.0,2.1,1.0
39601,52,57.7,19.2,3.8,19.2
28131,11,9.1,18.2,0.0,72.7
26602,76,50.0,28.9,7.9,13.2
22101,7,,,,
03109,274,71.9,22.6,3.6,1.8
04108,375,45.9,38.7,3.5,12.0
28139,527,57.3,33.8,2.5,6.5
98101,362,80.9,10.5,5.0,3.6
28164,275,96.7,0.7,1.1,1.5
28189,168,65.5,22.6,3.6,8.3
06119,510,81.8,13.7,2.7,1.8
07113,485,74.6,19.6,3.7,2.1
07126,486,88.9,5.8,3.5,1.9
08114,439,80.2,14.1,2.7,3.0
17701,200,72.5,15.5,4.0,8.0
07702,169,13.0,59.2,26.6,1.2
28191,9,,,,
09106,183,95.6,3.3,0.5,0.5
10112,605,67.4,21.7,5.0,6.0
28187,103,57.3,26.2,4.9,11.7
28111,46,50.0,39.1,0.0,10.9
97106,184,88.0,7.6,2.2,2.2
28179,106,56.6,25.5,1.9,16.0
10118,2,,,,
28186,75,1.3,74.7,24.0,0.0
28997,2,,,,
28605,133,54.9,32.3,4.5,8.3
28603,191,52.9,37.2,3.7,6.3
28604,131,55.0,32.1,6.9,6.1
16112,280,62.5,24.6,6.4,6.4
17110,288,86.1,7.3,2.8,3.8
28703,199,82.9,3.5,0.5,13.1
19111,202,82.7,7.4,5.4,4.5
28150,510,57.5,31.2,3.7,7.6
96107,308,75.6,14.6,3.6,6.2
23108,372,91.4,5.1,3.2,0.3
24105,347,87.6,7.5,2.0,2.9
25108,135,87.4,8.1,2.2,2.2
20104,142,90.1,2.8,4.9,2.1
07135,124,77.4,11.3,2.4,8.9
28119,2,,,,
20332,14,21.4,7.1,7.1,64.3
28166,3,,,,
35134,375,64.5,17.6,8.8,9.1
99102,208,94.2,1.9,2.9,1.0
27106,280,88.2,2.9,7.9,1.1
28188,184,66.8,25.5,3.8,3.8
98108,17,47.1,35.3,5.9,11.8
21111,226,61.5,23.9,3.5,11.1
32108,320,86.6,6.9,4.4,2.2
28702,7,,,,
30104,148,85.1,8.1,4.1,2.7
26118,381,50.9,29.7,10.8,8.7
31107,241,85.9,8.7,2.5,2.9
28178,60,95.0,5.0,0.0,0.0
28170,13,100.0,0.0,0.0,0.0
33108,204,80.4,16.2,2.0,1.5
35138,329,69.0,17.9,5.8,7.3
26105,481,45.7,35.6,13.3,5.4
38106,307,66.8,18.6,4.6,10.1
35130,348,67.2,13.5,7.2,12.1
36104,274,90.1,4.4,0.7,4.7
39123,676,54.9,33.9,4.6,6.7
