schcode,4YrcohortN09,4YrcGradrate09,4YrcDroprate09,4YrcGEDrate09,4YrcRetrate09
01106,287,95.8,2.4,1.4,0.3
03109,204,86.3,6.9,4.4,2.5
04108,260,47.7,32.7,6.9,12.7
06119,470,79.1,15.3,3.0,2.6
07113,419,73.7,16.5,3.8,6.0
07126,436,89.4,5.5,2.5,2.5
07135,95,62.1,18.9,7.4,11.6
07702,73,5.5,0.0,86.3,8.2
08114,373,83.6,9.7,3.5,3.2
09106,188,93.6,2.1,2.7,1.6
10112,511,77.5,10.0,5.9,6.7
16112,207,72.5,12.1,9.7,5.8
17110,301,85.7,13.0,1.3,0.0
17701,169,59.2,16.6,8.3,16.0
19111,168,81.5,8.3,4.2,6.0
20104,122,86.9,7.4,4.9,0.8
21111,137,75.9,10.9,4.4,8.8
22101,12,100.0,0.0,0.0,0.0
23108,398,92.5,3.5,1.3,2.8
24105,321,81.9,14.0,3.7,0.3
25108,152,86.2,5.3,5.3,3.3
26105,393,53.4,19.3,18.6,8.7
26109,25,88.0,0.0,8.0,4.0
26118,283,55.8,23.0,12.0,9.2
26602,40,70.0,12.5,10.0,7.5
27106,252,84.1,6.0,8.3,1.6
28111,9,,,,
28113,150,46.7,36.7,4.0,12.7
28119,1,,,,
28139,375,63.5,25.9,3.5,7.2
28150,337,57.3,29.7,1.5,11.6
28164,259,97.7,0.0,1.9,0.4
28170,35,88.6,0.0,2.9,8.6
28178,59,93.2,3.4,1.7,1.7
28179,86,61.6,22.1,3.5,12.8
28187,80,56.3,26.3,5.0,12.5
28188,111,77.5,15.3,0.9,6.3
28189,103,82.5,8.7,1.0,7.8
28191,21,0.0,95.2,0.0,4.8
28192,16,0.0,93.8,6.3,0.0
28193,13,84.6,7.7,0.0,7.7
28603,136,54.4,33.1,5.1,7.4
28604,130,70.8,22.3,3.1,3.8
28605,104,57.7,20.2,4.8,17.3
28702,8,,,,
28703,189,75.7,11.6,4.2,8.5
30104,133,85.0,11.3,3.8,0.0
31107,235,89.8,5.1,3.0,2.1
32108,319,86.8,6.6,3.4,3.1
33108,187,83.4,12.8,2.7,1.1
35130,307,76.2,14.7,3.6,5.5
35134,340,72.9,17.1,4.4,5.6
35138,296,77.0,10.8,7.1,5.1
36104,268,89.9,6.0,0.7,3.4
38106,284,70.1,19.7,3.2,7.0
39123,543,62.2,23.2,4.6,9.9
39601,35,57.1,11.4,5.7,25.7
96107,289,85.5,6.6,2.4,5.5
97106,173,87.9,5.2,3.5,3.5
98101,315,86.7,5.1,3.2,5.1
98108,11,36.4,45.5,0.0,18.2
99102,245,88.2,6.1,4.1,1.6
