Schcode,PCT_RECODE_StuQ11_8,PCT_RECODE2_StuQ11_8,PCT_RECODE_StuQ12_8,PCT_RECODE2_StuQ12_8,PCT_RECODE2_StuQ13_8,PCT_RECODE_StuQ14_8,PCT_RECODE_StuQ15_8,PCT_RECODE_StuQ16_8,PCT_RECODE_StuQ17_8,PCT_RECODE_StuQ18_8,PCT_RECODE_StuQ19_8,PCT_RECODE_StuQ20_8,PCT_RECODE_StuQ21_8,PCT_RECODE_StuQ22_8,PCT_RECODE_StuQ23_8,PCT_Reading_Prof_8_09,PCT_Math_Prof_8_09,PCT_TOOKTESTANDSURVEY_8,PCT_MNP_YESSVRY_8_09,PCT_MP_YESSVRY_8_09,PCT_RNP_YESSVRY_8_09,PCT_RP_YESSVRY_8_09,PCT_StuQ18_8_MP_moreThanWeekly,PCT_StuQ18_8_MNP_moreThanWeekly,PCT_StuQ20_8_MP_ListentoTeacher,PCT_StuQ20_8_MNP_ListentoTeacher,PCT_StuQ21_8_MP_moreThanWeekly,PCT_StuQ21_8_MNP_moreThanWeekly,PCT_StuQ22_8_MNP_atleastDaily,PCT_StuQ22_8_MP_atleastDaily,PCT_StuQ23_8_MNP_Prepared,PCT_StuQ23_8_MP_Prepared
1108,11.49,37.16,8.43,23.37,19.62,83.40,86.42,71.70,97.36,15.47,91.98,28.03,86.09,66.54,77.52,92.13,88.76,98.50,96.67,98.73,95.24,98.78,14.53,24.14,27.78,32.14,88.03,73.33,91.06,16.47,35.71,82.89
1998, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3104,36.05,10.47,5.95,52.38,14.86,82.29,82.29,26.44,95.43,9.25,22.09,46.24,77.59,34.68,36.53,61.80,46.63,97.77,96.84,98.80,98.53,98.18,6.10,12.22,48.15,43.96,84.15,71.43,31.33,38.20,12.79,62.50
4115,55.79,5.15,6.99,64.63,12.77,72.34,72.96,62.55,84.68,32.47,36.48,27.47,73.71,56.03,42.47,44.19,28.83,98.21,98.73,96.88,100.00,98.95,11.48,41.29,25.81,28.21,83.87,70.32,32.29,74.38,39.31,53.33
6104,29.68,10.47,2.73,51.12,21.43,83.74,85.22,70.20,75.06,15.63,71.89,29.60,84.90,46.29,48.47,80.43,64.73,98.31,96.58,99.25,95.06,99.10,11.41,23.57,25.19,37.86,87.92,79.14,62.70,32.42,36.36,54.62
7115,36.73,8.41,1.77,66.37,15.93,88.11,88.55,72.69,96.92,12.11,76.44,40.71,86.78,46.26,39.73,72.25,54.19,100.00,100.00,100.00,100.00,100.00,9.17,15.53,36.89,45.19,86.99,86.54,50.55,43.38,21.78,54.47
7123,35.83,10.00,7.53,49.37,14.46,87.55,87.19,37.82,97.49,14.77,46.86,47.70,80.59,41.18,39.57,73.09,45.31,94.19,93.57,96.55,97.01,95.60,5.45,22.83,43.64,51.16,79.09,81.89,37.29,45.00,21.60,60.00
7129,37.43,8.94,3.06,45.68,18.56,85.32,87.22,10.89,98.61,4.21,27.37,70.87,82.45,37.15,36.90,85.37,71.54,96.54,93.46,97.77,96.36,96.57,1.92,10.42,73.26,64.65,81.92,83.84,61.15,18.41,14.43,45.35
7301, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7304, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7327, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8115,35.67,7.01,1.27,71.34,11.46,78.48,80.38,37.58,80.38,4.43,69.62,44.87,84.08,36.94,50.86,76.73,65.22,95.68,92.86,98.10,91.89,97.54,0.97,11.54,42.72,48.00,85.29,84.62,54.41,23.26,31.03,58.33
8116,30.77,13.46,3.38,45.41,27.27,82.30,89.47,82.30,95.69,4.83,88.94,20.67,91.35,52.15,53.04,88.57,75.24,99.52,100.00,99.37,100.00,99.46,1.94,13.46,19.11,25.49,91.72,90.20,75.22,25.00,25.00,62.04
8120,54.55,9.09,18.18,54.55,9.09,63.64,63.64,72.73,45.45,18.18,54.55,18.18,63.64,9.09,27.27,0.00,0.00,100.00,100.00, ,100.00, , ,14.29, ,14.29, ,85.71, ,100.00,14.29, 
9103,22.89,26.37,6.44,32.18,21.78,92.04,91.58,39.41,98.51,4.43,52.22,48.02,82.76,39.41,66.33,94.12,84.31,100.00,100.00,100.00,100.00,100.00,1.75,18.75,46.47,56.25,83.04,81.25,81.58,14.17,19.35,75.00
10109,40.60,10.26,3.93,62.88,24.79,86.75,85.04,52.59,94.02,20.69,78.88,34.19,80.34,49.78,28.38,58.54,47.37,95.14,95.38,94.87,94.12,95.83,10.81,29.75,34.55,33.87,90.00,71.77,47.01,52.63,7.56,50.91
10122,28.48,12.03,5.10,64.33,25.48,88.46,91.08,66.88,94.27,7.84,81.65,23.23,86.62,53.80,28.24,76.22,64.24,95.15,96.61,94.34,100.00,94.40,5.05,13.21,23.47,23.21,88.89,82.46,71.88,41.94,8.16,40.74
10302,56.25,12.50,20.00,60.00,31.25,73.33,87.50,31.25,43.75,12.50,40.00,31.25,56.25,46.67,15.38,7.69,0.00,92.31,92.31, ,100.00, , ,16.67, ,33.33, ,58.33, ,100.00,20.00, 
10305, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10311, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10312,100.00,0.00,0.00,100.00,33.33,100.00,100.00,100.00,66.67,66.67,33.33,50.00,50.00,0.00,0.00, , , , , , , , , , , , , , , , , 
13301,75.00,0.00,25.00,50.00,25.00,75.00,100.00,25.00,75.00,0.00,25.00,25.00,50.00,25.00,0.00,0.00,0.00,100.00,100.00, ,100.00, , , , , , ,66.67, ,100.00, , 
15101,31.37,11.76,2.04,51.02,15.69,88.24,88.24,39.22,96.08,19.61,82.35,41.18,84.31,29.41,57.14,90.20,74.51,100.00,100.00,100.00,100.00,100.00,13.16,38.46,39.47,46.15,84.21,84.62,54.17,7.41,33.33,64.86
16111,46.74,7.28,1.15,61.69,16.92,80.75,83.83,68.30,98.11,14.39,64.53,32.83,79.17,47.89,83.33,71.02,44.52,93.64,93.63,93.65,93.90,93.53,7.63,20.00,22.88,40.41,83.90,75.86,42.64,53.44,73.76,94.83
16334, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17117,30.61,13.95,6.85,40.41,16.33,81.23,84.98,50.68,96.93,8.90,84.59,40.07,88.36,39.93,59.07,83.44,68.21,97.02,97.92,96.60,98.00,96.83,5.56,15.96,42.21,35.48,92.96,78.49,59.20,25.60,28.57,71.98
17336,66.67,0.00,33.33,33.33,0.00,66.67,33.33,0.00,33.33,33.33,66.67,0.00,66.67,66.67,0.00,0.00,0.00,100.00,100.00, ,100.00, , ,50.00, , , ,50.00, ,100.00, , 
18101,53.13,12.50,0.00,58.06,21.88,93.75,96.77,87.50,100.00,25.00,87.50,46.88,90.63,90.63,62.07,93.94,72.73,96.97,100.00,95.83,100.00,96.77,26.09,22.22,43.48,55.56,95.65,77.78,100.00,75.00,25.00,76.19
19114,13.64,22.16,1.69,41.24,13.48,90.96,91.57,66.48,89.27,20.34,61.02,44.94,83.62,62.71,29.89,76.80,73.80,94.12,89.80,95.65,90.48,98.56,18.18,27.91,42.42,52.27,83.97,86.36,80.95,34.29,9.52,36.92
19333,100.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,50.00, , ,50.00, , , , , , , , , , , 
20103,28.45,18.10,4.27,50.43,22.88,84.75,89.74,63.79,96.61,49.57,45.30,36.75,79.66,49.15,40.87,88.71,70.16,95.16,97.30,94.25,85.71,96.36,45.68,58.33,34.57,41.67,75.61,88.89,70.37,31.25,14.29,52.50
21106,33.33,14.73,8.66,57.48,21.21,80.00,82.58,81.82,90.77,18.94,74.81,17.42,75.94,66.67,38.71,78.17,45.07,93.66,91.03,96.88,87.10,95.50,11.29,25.71,12.90,21.43,74.19,77.46,63.93,69.12,7.81,71.67
22101,58.33,8.33,8.33,58.33,8.33,75.00,75.00,33.33,100.00,33.33,75.00,66.67,91.67,41.67,41.67,100.00,58.33,100.00,100.00,100.00, ,100.00,28.57,40.00,71.43,60.00,85.71,100.00,50.00,25.00,20.00,57.14
23105,34.01,10.20,3.40,40.82,20.41,90.48,93.20,18.37,98.64,8.28,18.75,68.71,88.36,29.25,56.59,87.66,70.59,94.81,91.11,97.22,73.68,97.78,6.73,10.00,71.43,63.41,89.52,85.00,51.79,15.56,13.16,75.56
23112,31.82,10.80,2.29,46.29,12.43,92.66,92.66,69.32,98.86,25.00,10.23,40.91,90.34,37.85,48.86,81.32,68.13,98.35,94.83,100.00,91.18,100.00,20.33,35.85,38.52,46.30,89.43,92.45,58.67,22.55,13.21,64.23
23601,38.46,23.08,0.00,57.14,7.14,71.43,78.57,85.71,92.86,42.86,92.86,7.14,85.71,50.00,66.67,85.71,85.71,100.00,100.00,100.00,100.00,100.00,41.67,50.00,8.33, ,91.67,50.00,85.71,14.29,50.00,70.00
24111,65.22,2.90,6.62,53.68,15.00,87.14,89.29,83.57,97.83,16.55,21.43,30.94,88.57,33.57,28.68,68.79,32.62,99.29,98.95,100.00,97.73,100.00,6.52,21.51,23.91,34.41,89.13,88.30,19.48,50.79,21.11,43.48
24112,43.38,4.41,5.19,52.59,21.17,81.02,81.75,25.55,96.32,7.35,16.06,51.82,85.40,29.93,25.20,61.59,36.50,99.28,100.00,100.00,98.11,100.00,4.00,9.30,54.00,50.57,88.00,83.91,18.92,42.86,7.89,53.19
24305, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25109,31.65,9.35,3.60,47.48,23.57,87.77,91.37,58.57,97.84,15.11,53.24,42.14,73.57,39.29,36.15,87.14,67.14,100.00,100.00,100.00,100.00,100.00,9.68,26.09,48.94,28.26,75.53,69.57,57.14,24.68,7.50,48.89
26103,45.25,4.47,6.25,67.05,19.44,80.00,83.24,74.86,85.96,30.86,51.98,25.70,83.71,55.17,54.39,57.06,36.21,96.55,98.20,93.65,97.26,95.88,20.69,35.51,17.24,29.36,93.10,81.48,39.73,68.54,47.57,71.93
26106,47.98,6.45,0.83,75.21,15.66,75.81,77.11,58.54,89.56,34.68,55.33,37.10,77.24,65.73,39.74,55.56,42.21,93.47,90.07,99.03,96.15,99.23,25.49,41.27,35.64,38.58,78.22,76.19,60.00,73.15,32.17,46.32
26107,40.40,10.00,6.00,56.80,25.20,66.67,70.24,81.35,77.78,32.14,79.45,30.83,80.48,56.13,18.52,55.20,46.40,100.00,100.00,100.00,100.00,100.00,28.45,35.11,28.45,34.09,87.07,76.92,54.29,58.74,18.25,18.58
26333, , , , , , , , , , , , , , , ,0.00,0.00,0.00, , , , , , , , , , , , , , 
27112,35.19,9.87,3.43,54.94,25.85,88.98,90.21,85.53,97.87,22.22,86.44,28.94,90.60,66.24,93.56,84.75,77.12,99.58,100.00,99.45,100.00,99.50,18.44,33.33,25.97,39.62,94.41,77.78,82.47,34.18,88.24,95.58
27302,0.00,0.00,0.00,100.00,50.00,50.00,50.00,50.00,100.00,50.00,0.00,50.00,100.00,100.00,0.00,16.67,0.00,28.57,28.57, ,40.00, , ,50.00, ,50.00, ,100.00, ,100.00, , 
28137,24.81,8.27,3.76,63.91,10.45,81.95,83.58,58.65,96.27,25.56,66.92,39.39,81.95,60.90,48.06,47.22,26.39,96.53,97.17,94.74,96.05,97.06,12.50,29.70,36.36,40.40,78.79,83.00,35.38,85.29,39.18,75.00
28144,32.09,13.90,2.11,71.58,14.14,72.25,75.00,57.59,89.01,31.05,68.95,31.94,68.59,58.73,42.70,47.32,19.57,81.70,79.37,91.30,80.51,88.68,7.14,37.84,38.10,30.20,71.43,67.79,26.92,81.08,34.03,73.17
28145,36.58,11.67,7.87,61.42,13.90,69.50,68.08,58.69,93.02,31.54,43.97,34.11,67.70,55.12,40.32,66.14,51.11,82.59,83.12,82.61,78.50,84.69,18.80,44.88,34.09,34.13,72.52,62.70,58.18,52.78,17.09,61.07
28146,35.92,13.38,5.59,67.83,13.38,66.67,62.77,80.71,94.96,38.41,62.77,28.78,77.70,63.31,50.37,31.40,20.37,67.59,63.37,84.09,64.79,81.54,29.41,41.35,20.00,31.73,82.86,75.96,35.71,81.93,39.00,82.86
28147,45.50,11.26,4.50,70.27,10.62,73.89,73.78,56.95,79.20,35.84,67.70,33.04,74.32,60.63,34.29,26.46,22.51,83.76,81.90,90.16,88.36,88.24,18.18,41.52,20.00,37.21,85.45,70.66,32.63,81.75,29.68,47.27
28170,29.51,3.28,3.33,61.67,17.74,80.65,77.42,66.13,95.16,35.48,90.32,67.74,85.48,54.84,83.33,51.56,50.00,96.88,96.88,96.88,93.55,100.00,38.71,32.26,67.74,67.74,83.87,87.10,54.29,55.56,87.10,79.31
28172,49.71,9.94,2.98,70.83,13.95,77.33,76.16,42.44,88.44,31.55,47.95,41.28,61.76,57.65,49.07,38.07,14.75,80.82,78.92,96.88,77.04,87.95,3.33,37.68,58.06,37.59,67.74,60.43,21.13,83.84,45.38,64.52
28182,37.41,8.16,1.37,67.12,14.29,70.07,75.34,70.07,76.71,31.51,67.81,26.71,78.77,62.59,40.56,54.88,24.07,90.24,89.43,94.87,83.78,95.56,27.78,33.03,22.22,28.44,94.59,74.07,36.92,83.95,28.57,75.68
28345, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28354,100.00,0.00,14.29,42.86,28.57,57.14,100.00,71.43,100.00,28.57,85.71,28.57,85.71,42.86,0.00,20.00,0.00,100.00,100.00, ,100.00,100.00, ,40.00, ,20.00, ,80.00, ,100.00, , 
28356, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28358,50.00,50.00,0.00,50.00,0.00,50.00,50.00,50.00,100.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00, ,100.00, , ,50.00, ,50.00, , , , , , 
28374, , , , , , , , , , , , , , , ,50.00,0.00,0.00, , , , , , , , , , , , , , 
28375,50.00,0.00,0.00,0.00,50.00,50.00,50.00,100.00,50.00,0.00,100.00,0.00,100.00,0.00,50.00,0.00,0.00,100.00,100.00, ,100.00, , , , , , ,100.00, , ,50.00, 
28601,46.88,12.50,6.25,56.25,9.38,65.63,68.75,81.25,84.38,25.00,21.88,15.63,74.19,41.94,96.67,61.76,35.29,94.12,95.45,91.67,92.31,95.24,27.27,23.81,18.18,14.29,80.00,71.43,18.18,55.00,94.74,100.00
28602,17.39,17.39,11.11,42.22,21.74,73.91,82.61,69.77,93.48,19.57,26.67,30.43,86.96,58.70,65.22,54.35,47.83,97.83,100.00,95.45,95.24,100.00,9.52,29.17,38.10,25.00,90.48,83.33,54.17,61.90,58.33,76.19
28702,100.00,0.00,0.00,0.00,100.00,0.00,100.00,100.00,100.00, ,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00, ,100.00, ,100.00, , , , ,100.00, ,100.00, , ,100.00
30105, , , , , , , , , , , , , , , ,91.16,74.83,0.00, , , , , , , , , , , , , , 
31109,35.35,11.16,0.93,59.07,22.79,83.72,83.72,90.74,99.54,6.94,72.22,12.50,96.30,81.94,43.72,85.11,73.50,91.95,87.10,94.77,85.71,93.50,4.94,12.96,11.11,16.67,95.68,98.15,94.24,59.74,5.66,56.17
32110,20.52,25.00,4.15,40.75,13.33,87.45,87.69,53.51,94.80,18.45,16.79,46.99,76.95,44.61,59.32,89.01,80.95,99.27,100.00,99.10,100.00,99.18,15.98,28.85,50.47,32.69,76.96,76.92,76.15,15.11,17.02,68.52
32301,100.00,0.00,0.00,100.00,0.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,0.00,100.00,0.00,33.33,33.33,0.00, , , , , , , , , , , , , , 
33110,23.48,18.18,2.27,48.48,18.05,86.57,87.31,82.84,97.76,12.78,76.87,17.91,88.72,64.39,44.53,77.40,68.49,89.04,84.78,91.00,81.82,91.15,6.59,26.32,16.48,20.51,91.11,84.62,81.08,46.30,11.11,58.43
35118,32.85,9.49,4.03,54.95,21.30,81.52,82.97,56.88,93.82,9.93,44.65,38.89,85.93,36.47,34.55,81.36,53.05,99.28,99.24,99.32,100.00,99.12,3.45,17.32,38.46,39.37,87.50,84.13,39.39,33.58,23.53,44.88
35120,40.23,9.38,3.89,52.14,15.83,85.71,87.94,15.12,95.75,8.95,18.22,48.06,81.54,27.73,31.78,71.48,51.68,87.58,86.11,88.96,81.18,90.14,2.96,15.57,45.19,51.22,83.09,79.84,28.57,27.01,25.69,37.01
35139,34.63,14.79,9.69,36.43,25.10,84.05,85.94,38.13,96.14,9.27,63.95,52.90,76.17,28.40,46.06,75.54,61.37,92.81,92.52,93.53,89.71,93.81,3.77,18.18,55.97,48.48,79.11,72.16,38.68,21.33,25.27,59.06
35303, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
35335,50.00,0.00,0.00,100.00,50.00,100.00,0.00,100.00,100.00,0.00,100.00,0.00,100.00,50.00,50.00,0.00,0.00,100.00,100.00, ,100.00, , , , , , ,100.00, ,100.00,50.00, 
35358,100.00,0.00,0.00,100.00,0.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , , , , , , , , , , 
36103,24.12,17.11,8.37,37.44,16.52,86.46,85.15,35.53,93.45,12.78,36.96,44.10,79.74,49.34,76.33,75.32,58.87,96.54,93.68,98.53,91.23,98.28,8.27,18.39,45.11,44.94,81.68,77.53,58.65,38.98,59.46,87.40
38107,27.05,12.70,3.72,63.22,20.08,87.30,85.66,38.78,84.15,16.26,90.95,35.10,76.54,53.25,14.72,70.59,62.11,96.88,93.81,98.74,92.00,98.89,14.10,20.00,30.97,42.22,79.35,71.59,64.75,38.32,16.92,13.27
39115,41.16,9.39,5.06,59.55,15.98,79.18,79.78,67.86,79.06,16.02,58.13,28.65,75.41,49.45,24.16,51.91,30.31,86.08,82.19,98.43,77.11,96.77,9.02,19.25,26.83,29.29,84.68,70.46,32.57,65.05,24.65,22.52
39321,100.00,0.00,0.00,0.00,100.00,0.00,100.00,100.00,0.00,0.00,0.00,100.00, , , ,0.00,0.00,50.00,50.00, ,50.00, , , , ,100.00, , , , , , 
96112,24.60,15.08,1.98,56.35,18.43,88.63,87.84,58.66,96.06,18.65,40.24,29.76,80.56,54.33,38.27,78.31,65.07,93.75,93.68,93.79,96.61,92.96,17.68,20.45,26.06,36.78,81.33,79.07,69.53,38.89,18.82,48.73
97105,35.40,13.66,4.32,40.12,25.93,83.33,87.65,51.53,95.68,20.99,66.87,47.20,74.07,44.72,34.18,80.49,71.34,99.39,97.87,100.00,100.00,99.24,20.51,22.22,47.41,46.67,76.07,68.89,67.09,23.17,4.76,44.83
97320,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00,0.00,100.00,100.00,50.00, , , , , , , , , , , , , , , , , 
