school_year,LabelStateCode,LabelSchoolNameShort,LabelSchoolNameLong,LabelDistCode,LabelDistrict,LabelSch+District,LabelGradeConfig,LabelCharterSch,LabelSchCoreCity4,LabelSchCoreCity5,LabelSchCoreCity6,LabelGradeConfigAbbr,LabelSchCity,LabelElementary,LabelMiddle,LabelHigh,LabelSchMCSch,LabelSchMCElemSch,ACT_CEEB_code,nces_code,ctract2010,ctract2000,neighborhood
2011-2012,01103,Primrose Hill,Primrose Hill School,01,Barrington,Primrose Hill - Barrington,Elementary,N,N,N,N,PK to 3,Barrington,Y,N,N,N,N,,440003000006,44001030200,44001030200,
2011-2012,01104,Nayatt School,Nayatt School,01,Barrington,Nayatt School - Barrington,Elementary,N,N,N,N,PK to 3,Barrington,Y,N,N,N,N,,440003000004,44001030400,44001030400,
2011-2012,01105,Hampden Meadows,Hampden Meadows School,01,Barrington,Hampden Meadows - Barrington,Elementary,N,N,N,N,4 to 5,Barrington,Y,N,N,N,N,,440003000003,44001030300,44001030300,
2011-2012,01106,Barrington HS,Barrington High School,01,Barrington,Barrington HS - Barrington,High,N,N,N,N,9 to 12,Barrington,N,N,Y,N,N,400000,440003000001,44001030200,44001030200,
2011-2012,01108,Barrington MS,Barrington Middle School,01,Barrington,Barrington MS - Barrington,Middle,N,N,N,N,6 to 8,Barrington,N,Y,N,N,N,,440003000002,44001030100,44001030100,
2011-2012,01109,Sowams,Sowams Elementary School,01,Barrington,Sowams - Barrington,Elementary,N,N,N,N,K to 3,Barrington,Y,N,N,N,N,,440003000005,44001030300,44001030300,
2011-2012,03104,Burrillville MS,Burrillville Middle School,03,Burrillville,Burrillville MS - Burrillville,Middle,N,N,N,N,6 to 8,Harrisville,N,Y,N,N,N,,440009000383,44007013002,44007013002,
2011-2012,03105,Steere Farm,Steere Farm Elementary School,03,Burrillville,Steere Farm - Burrillville,Elementary,N,N,N,N,PK to 5,Pascoag,Y,N,N,N,N,,440009000057,44007013002,44007013002,
2011-2012,03107,Callahan,William L. Callahan School,03,Burrillville,Callahan - Burrillville,Elementary,N,N,N,N,2 to 5,Harrisville,Y,N,N,N,N,,440009000022,44007012900,44007012900,
2011-2012,03108,Levy,Austin T. Levy School,03,Burrillville,Levy - Burrillville,Elementary,N,N,N,N,K to 1,Harrisville,Y,N,N,N,N,,440009000018,44007012900,44007012900,
2011-2012,03109,Burrillville HS,Burrillville High School,03,Burrillville,Burrillville HS - Burrillville,High,N,N,N,N,9 to 12,Harrisville,N,N,Y,N,N,400055,440009000019,44007013002,44007013002,
2011-2012,04101,Ella Risk,Ella Risk School,04,Central Falls,Ella Risk - Central Falls,Elementary,N,Y,Y,Y,1 to 4,Central Falls,Y,N,N,N,N,,440012000027,44007011100,44007011100,
2011-2012,04104,Harold Hunt,Capt. G. Harold Hunt School,04,Central Falls,Harold Hunt - Central Falls,Elementary,N,Y,Y,Y,PK to 1,Central Falls,Y,N,N,N,N,,440012000025,44007011100,44007011100,
2011-2012,04105,Robertson,Margaret I. Robertson School,04,Central Falls,Robertson - Central Falls,Elementary,N,Y,Y,Y,5 to 5,Central Falls,Y,N,N,N,N,,440012000028,44007010900,44007010900,
2011-2012,04106,Veterans Mem.,Veterans Memorial Elementary,04,Central Falls,Veterans Mem. - Central Falls,Elementary,N,Y,Y,Y,1 to 4,Central Falls,Y,N,N,N,N,,440012000385,44007011000,44007011000,
2011-2012,04108,Central Falls SHS,Central Falls High School,04,Central Falls,Central Falls SHS - Central Falls,High,N,Y,Y,Y,9 to 12,Central Falls,N,N,Y,N,N,400012,440012000026,44007010800,44007010800,
2011-2012,04115,Calcutt MS,Calcutt Middle School,04,Central Falls,Calcutt MS - Central Falls,Middle,N,Y,Y,Y,6 to 8,Central Falls,N,Y,N,N,N,,440012000024,44007011000,44007011000,
2011-2012,04601,Learning Community,The Learning Community Charter School,59,Learning Community,Learning Community - Learning Comm. Charter,"Elem,Middle",Y,Y,Y,Y,K to 8,Central Falls,Y,Y,N,N,N,,440000600326,44007010900,44007010900,
2011-2012,04602,Segue Institute,Segue Institute for Learning,46,Segue Institute for Learning,Segue Institute - Segue Inst. Learning,Middle,Y,Y,Y,Y,6 to 8,Central Falls,N,Y,N,N,N,,440001400472,44007011000,44007011000,
2011-2012,06104,AS Feinstein MS,Alan Shawn Feinstein Middle School Of Coventry,06,Coventry,AS Feinstein MS - Coventry,Middle,N,N,N,N,6 to 8,Coventry,N,Y,N,N,N,,440021000465,44003020601,44003020601,
2011-2012,06109,Western Coventry,Western Coventry School,06,Coventry,Western Coventry - Coventry,Elementary,N,N,N,N,K to 5,Coventry,Y,N,N,N,N,,440021000041,44003020702,44003020702,
2011-2012,06112,Hopkins Hill,Hopkins Hill School,06,Coventry,Hopkins Hill - Coventry,Elementary,N,N,N,N,PK to 5,Coventry,Y,N,N,N,N,,440021000035,44003020603,44003020603,
2011-2012,06116,Tiogue,Tiogue School,06,Coventry,Tiogue - Coventry,Elementary,N,N,N,N,K to 5,Coventry,Y,N,N,N,N,,440021000365,44003020603,44003020603,
2011-2012,06117,Blackrock,Blackrock School,06,Coventry,Blackrock - Coventry,Elementary,N,N,N,N,PK to 5,Coventry,Y,N,N,N,N,,440021000031,44003020601,44003020601,
2011-2012,06119,Coventry HS,Coventry High School,06,Coventry,Coventry HS - Coventry,High,N,N,N,N,9 to 12,Coventry,N,N,Y,N,N,400030,440021000032,44003020703,44003020703,
2011-2012,06121,Washington Oak,Washington Oak School,06,Coventry,Washington Oak - Coventry,Elementary,N,N,N,N,PK to 5,Coventry,Y,N,N,N,N,,440021000034,44003020703,44003020703,
2011-2012,07103,Oak Lawn,Oak Lawn School,07,Cranston,Oak Lawn - Cranston,Elementary,N,N,N,N,PK to 6,Cranston,Y,N,N,N,N,,440024000059,44007014600,44007014600,
2011-2012,07110,Waterman,Daniel D. Waterman School,07,Cranston,Waterman - Cranston,Elementary,N,N,N,N,PK to 6,Cranston,Y,N,N,N,N,,440024000046,44007013800,44007013800,
2011-2012,07112,Chester Barrows,Chester W. Barrows School,07,Cranston,Chester Barrows - Cranston,Elementary,N,N,N,N,PK to 5,Cranston,Y,N,N,N,N,,440024000043,44007013500,44007013500,
2011-2012,07113,Cranston HS East,Cranston High School East,07,Cranston,Cranston HS East - Cranston,High,N,N,N,N,9 to 12,Cranston,N,N,Y,N,N,400035,440024000044,44007014000,44007014000,
2011-2012,07115,Bain MS,Hugh B. Bain Middle School,07,Cranston,Bain MS - Cranston,Middle,N,N,N,N,7 to 8,Cranston,N,Y,N,N,N,,440024000053,44007014700,44007014700,
2011-2012,07116,Dutemple,William R. Dutemple School,07,Cranston,Dutemple - Cranston,Elementary,N,N,N,N,PK to 6,Cranston,Y,N,N,N,N,,440024000068,44007013701,44007013701,
2011-2012,07117,Rhodes,Edward S. Rhodes School,07,Cranston,Rhodes - Cranston,Elementary,N,N,N,N,PK to 6,Cranston,Y,N,N,N,N,,440024000049,44007013400,44007013400,
2011-2012,07118,Eden Park,Eden Park School,07,Cranston,Eden Park - Cranston,Elementary,N,N,N,N,PK to 6,Cranston,Y,N,N,N,N,,440024000047,44007013702,44007013702,
2011-2012,07119,Gladstone St,Gladstone Street School,07,Cranston,Gladstone St - Cranston,Elementary,N,N,N,N,PK to 6,Cranston,Y,N,N,N,N,,440024000051,44007014100,44007014100,
2011-2012,07120,Stadium,Stadium School,07,Cranston,Stadium - Cranston,Elementary,N,N,N,N,PK to 6,Cranston,Y,N,N,N,N,,440024000063,44007014000,44007014000,
2011-2012,07121,Woodridge,Woodridge School,07,Cranston,Woodridge - Cranston,Elementary,N,N,N,N,PK to 6,Cranston,Y,N,N,N,N,,440024000069,44007014300,44007014300,
2011-2012,07122,Garden City,Garden City School,07,Cranston,Garden City - Cranston,Elementary,N,N,N,N,PK to 6,Cranston,Y,N,N,N,N,,440024000050,44007013900,44007013900,
2011-2012,07123,Park View MS,Park View Middle School,07,Cranston,Park View MS - Cranston,Middle,N,N,N,N,7 to 8,Cranston,N,Y,N,N,N,,440024000060,44007013600,44007013600,
2011-2012,07124,Peters,George J. Peters School,07,Cranston,Peters - Cranston,Elementary,N,N,N,N,PK to 6,Cranston,Y,N,N,N,N,,440024000351,44007014700,44007014700,
2011-2012,07125,Arlington,Arlington School,07,Cranston,Arlington - Cranston,Elementary,N,N,N,N,PK to 6,Cranston,Y,N,N,N,N,,440024000042,44007014700,44007014700,
2011-2012,07126,Cranston HS West,Cranston High School West,07,Cranston,Cranston HS West - Cranston,High,N,N,N,N,9 to 12,Cranston,N,N,Y,N,N,400036,440024000045,44007014502,44007014502,
2011-2012,07127,Stone Hill,Stone Hill School,07,Cranston,Stone Hill - Cranston,Elementary,N,N,N,N,PK to 6,Cranston,Y,N,N,N,N,,440024000064,44007014800,44007014800,
2011-2012,07128,Glen Hills,Glen Hills School,07,Cranston,Glen Hills - Cranston,Elementary,N,N,N,N,PK to 6,Cranston,Y,N,N,N,N,,440024000052,44007014400,44007014400,
2011-2012,07129,Western Hills,Western Hills Middle School,07,Cranston,Western Hills - Cranston,Middle,N,N,N,N,7 to 8,Cranston,N,Y,N,N,N,,440024000067,44007014502,44007014502,
2011-2012,07130,Edgewood Highland,Edgewood Highland School,07,Cranston,Edgewood Highland - Cranston,Elementary,N,N,N,N,PK to 6,Cranston,Y,N,N,N,N,,440024000048,44007013500,44007013500,
2011-2012,07134,Hope Highlands,Hope Highlands Elementary School,07,Cranston,Hope Highlands - Cranston,Elementary,N,N,N,N,PK to 6,Cranston,Y,N,N,N,N,,440024000007,44007014600,44007014600,
2011-2012,07135,NEL/CPS HS,NE Laborers'/Cranston Public Schools Construction Career Academy,07,Cranston,NEL/CPS HS - Cranston,High,Y,N,N,N,9 to 12,Cranston,N,N,Y,N,N,400034,440024000229,44007014200,44007014200,
2011-2012,07136,Orchard Farms,Orchard Farms Elementary School,07,Cranston,Orchard Farms - Cranston,Elementary,N,N,N,N,PK to 6,Cranston,Y,N,N,N,N,,440024000277,44007014600,44007014600,
2011-2012,08107,B.F. Norton,B.F. Norton Elementary School,08,Cumberland,B.F. Norton - Cumberland,Elementary,N,N,N,N,K to 5,Cumberland,Y,N,N,N,N,,440027000039,44007011200,44007011200,
2011-2012,08108,Garvin Mem.,Garvin Memorial School,08,Cumberland,Garvin Mem. - Cumberland,Elementary,N,N,N,N,K to 5,Cumberland,Y,N,N,N,N,,440027000081,44007011301,44007011301,
2011-2012,08109,Community,Community School,08,Cumberland,Community - Cumberland,Elementary,N,N,N,N,K to 5,Cumberland,Y,N,N,N,N,,440027000075,44007011401,44007011401,
