GEO2000,TOT_POP_00,Pct_White_00,Pct_Black_00,Pct_AIAN_00,Pct_ASN_00,Pct_NHOPI_00,Pct_Oth_00,Pct_2Race_00,Pct_HISP_00,Pct_NHISP_00,Pct_NHW_00,Pct_NHB_00,Pct_NHA_00,Pct_NHNHOPI_00,Pct_NHAI_00,Pct_NHOTH_00,Pct_NH2Race_00,Num_Child618_00,Num_Male618_00,Num_Female618_00,Num_Child018_00,Pct_Under18_00,Pct_65Over_00,Pct_workingAge_00,Tot_HH_00,Pct_popinHH_00,Pct_PopinFamHH_00,Presence_Child_Denom_00,Pct_SINGFEM_WOK_00,Pct_SINGMAL_WOK_00,Pct_MC_WOK_00,Num_FamHH_WOK_00,HHSIZE_DENOM_00,Pct_FamHH_00,Pct_NonFamHH_00,Tot_Families_00,Pct_SINGFEM_WRK_00,Pct_SINGMAL_WRK_0,Pct_MC_WRK_00,Num_FamHH_WRK_00,Tot_Pop_15Over_00,Pct_Male_15Over_00,Pct_Female_15Over_00,Lang_Denom_00,Tot_pop_517_00,Pct_517_Spnsh_AH_00,Pct_517_SPAN_ENW_00,Pct_517_ENW_00,WORKAGE_SE_DENOM_00,PCT_1864_ENGNOTWELL_00,Linguistic_ISO_00,Pct_HH_Ling_ISO_00,Citizenship_Denom_00,Pct_FORNBORN_00,Foreign_Born_Denom_00,Pct_Emigrated9000_00,Foreign_Born_byyear_Denom_00,Pct_Emi9000_NotCitizens_00,Diff_Res_Denom_00,Pct_DiffHouse_00,Pct_DiffHouse_SameCnty_00,Pct_DiffState_00,Transport_Denom_00,School_enroll_denom_00,Pct_enroll_PK12_00,Pct_enroll_PubPK12_00,EDUC_Denom_00,Pct_NoEDUC_00,Pct_EDUC8th_00,Pct_NODiploma_00,Pct_HSDiploma_00,Disability_Denom_00,Pct_515_wDis_00,Pct_1520_withDis_00,Fem16_Denom_00,Pct_Fem16_wk_00,Pct_Fem16_wk_emp_00,Pct_Fem16_wk_unemp_00,HH_Inc_Denom_00,Pct_HHINC_U25K_00,Pct_HHINC_2550K_00,Pct_HHINC_U50K_00,Pct_HHINC_5075K_00,Pct_HHINC_U75K,Pct_HHINC_75100K_00,Pct_HHINC_U100K_00,Pct_HHINC_MT100K_00,Med_HHINC_00,Pub_assist_denom_00,Pct_PubAssist_00,FAM_Inc_Denom_00,Pct_FAMINC_U25K_00,Pct_FAMINC_2550K_00,Pct_FAMINC_5075K_00,Pct_FAMINC_75100K_00,Pct_FAMINC_MT100K_00,Med_FAMINC_00,PCAP_Inc_00,POV_RAT_D_00,Pct_POV_00,Pct_POV_u18_00,Pct_ABVPOVLINE_00,Above_PovertyLine_00,POV_RAT_DINC_00,Pct_POVRAT50_00,Pct_POVRAT50100_00,Pct_POVRAT100150_00,Pct_POVRAT150200_00,Pct_POVRAT200_00,Pct_POVRAT_G200_00,POV_RAT_Denom_fam_00,Pct_POV_married_00,Pct_abovePovLine_married_00,POVRAT_FAM_Denom_00,Pct_POV_fam_chldrn_00,Pct_ABVPOV_fam_chldrn_00,HH_INCPOV_Denom_00,Pct_HHPOVu150_fam_00,Pct_HHPOVg150_fam_00,TOTHSUN_00,OCCHU_00,Pct_OWNOCC_00,Pct_RNTOCC_00,OCCHU_Race_Denom_00,Pct_OCCW_00,Pct_OCCB_00,Pct_OCCI_00,Pct_OCCA_00,Pct_OCCP_00,Pct_OCCO_00,Pct_OCCM_00,TOCCHU_OWNOCCRace_Denom_00,Pct_OWNOCCW_00,Pct_OWNOCCB_00,Pct_OWNOCCI_00,Pct_OWNOCCA_00,Pct_OWNOCCP_00,Pct_OWNOCCO_00,Pct_OWNOCCM_00,Pct_RNTOCCW_00,Pct_RNTOCCB_00,Pct_RNTOCCI_00,Pct_RNTOCCA_00,Pct_RNTOCCP_00,Pct_RNTOCCO_00,Pct_RNTOCCM_00,OCCHUH_00,Pct_OCCH_OWNOCC_00,Pct_OCCH_RNTOCC_00,OCCHUW_00,Pct_OCCW_OWNOCC_00,Pct_OCCW_RNTOCC_00,Tot_Pop_OCCHU_00,Pct_Pop_OWNOCC_00,Pct_Pop_RNTOCC_00,OCCHU_HHSZE_Denom_00,Pct_1PRSNHH_00,Pct_24PRSNHH_00,Pct_g5PRSNHH_00,Avg_HHSZE_OCCHU_00,Avg_HHSZE_OWNOCC_00,Avg_HHSZE_RNTOCC_00,OCCHU_OCCperRM_Denom_00,OCCHU100_00,OCCHU151200_00,Total_HU_00,Pct_BLTYR902000_00,Pct_BLTYR8089_00,Pct_BLTYR6079_00,Pct_BLTYR4059_00,Pct_BLTYR39_00,OCCHU_BLTYR_Denom_00,Pct_BLTOC902000_00,Pct_BLTOC8089_00,Pct_BLTOC6079_00,Pct_BLTOC4059_00,Pct_BLTOC39_00,Pct_BLTRE902000_00,Pct_BLTRE8089_00,Pct_BLTRE6079_00,Pct_BLTRE4059_00,Pct_BLTRE39_00,Med_GR_Rent_00,RNTOCC_GR_Denom_00,Pct_R10PI_00,Pct_R19PI_00,Pct_R29PI_00,Pct_R39PI_00,Pct_R49PI_00,Pct_R50PI_00,Pct_RNCPI_00,MED_GR_PctHHINC_00,RNTOCC_HHINC_Denom_00,PCT_R30PI_00,PCT_RG30PI_00,OWNOCC_COSTINC_Denom_00,PCT_OWNOCC_M30PI_00,PCT_OWNOCC_MG30PI_00,PCT_OCCHU_00,PCT_VCTHU_00,Pct_Bachelor_00,Pct_PostBachDeg_00,Pct_Drivealone_00,Pct_PublicTransport_00
44001030100,4880,94.88,2.01,0.00,0.72,0.00,0.68,1.72,1.09,98.91,94.61,1.86,0.72,0.00,0.00,0.00,1.72,578.00,495.00,436.00,1306.00,26.76,13.77,60.88,4880.00,92.32,82.21,1709.00,3.86,1.58,31.71,635.00,1709.00,74.20,25.80,1268.00,11.13,4.17,84.70,647.00,3874.00,48.48,51.52,4599.00,956.00,3.56,0.00,0.00,2971.00,0.54,1709.00,1.11,4880.00,4.53,221.00,41.18,91.00,100.00,4599.00,38.99,25.15,31.85,2267.00,4702.00,11.89,87.12,3185.00,0.63,1.22,6.88,20.75,4599.00,0.33,0.15,1932.00,31.78,72.64,1.30,1709.00,18.26,19.72,37.98,17.96,55.94,16.27,72.21,27.79,65037.00,1709.00,0.35, , , , , , , , , , , , , , , , , , , , , , , , , , ,1709.00,42.50,77.47,1763.00,1708.00,87.82,12.18,1708.00,96.90,0.82,0.00,0.82,0.00,0.70,0.76,1708.00,96.93,0.93,0.00,0.93,0.00,0.80,0.40,96.63,0.00,0.00,0.00,0.00,0.00,3.37,12.00,100.00,0.00,1655.00,87.85,12.15,4505.00,92.28,7.72,1708.00,23.07,67.10,9.84,2.64,2.77,1.67,1708.00,99.59,0.41,1763.00,8.68,6.86,9.81,40.95,33.69,1708.00,7.67,6.73,10.73,42.87,32.00,18.27,4.33,5.77,24.52,47.12,633.00,208.00,2.88,11.54,20.19,11.54,9.62,21.15,23.08,32.90,208.00,34.62,42.31,1454.00,75.86,24.14,96.88,3.12,29.36,17.17,83.06,2.87
44001030200,3247,95.41,0.18,0.00,2.62,0.00,0.00,1.79,0.62,99.38,95.26,0.18,2.62,0.00,0.00,0.00,1.32,332.00,315.00,318.00,854.00,26.30,20.14,54.17,3247.00,99.72,88.30,1263.00,4.51,0.00,30.01,436.00,1263.00,74.43,25.57,940.00,14.32,1.32,84.36,454.00,2572.00,46.77,53.23,3082.00,669.00,1.05,0.00,1.35,1759.00,0.00,1263.00,0.95,3247.00,6.19,201.00,20.40,41.00,34.15,3082.00,30.01,32.65,34.59,1501.00,3153.00,12.43,86.48,2280.00,0.57,3.86,14.74,19.17,3075.00,1.14,0.33,1331.00,34.11,70.04,0.00,1263.00,22.17,25.42,47.59,17.74,65.32,13.78,79.10,20.90,51694.00,1263.00,1.35,940.00,11.81,24.47,20.53,17.23,25.96,64583.00,27553.00,3239.00,3.46,6.25,96.54,0.26,3239.00,1.76,1.70,2.56,8.00,14.02,5063.64,3239.00,51.79,77.23,940.00,10.00,49.56,1263.00,41.82,77.54,1290.00,1259.00,80.70,19.30,1259.00,96.82,0.40,0.00,1.67,0.00,0.00,1.11,1259.00,97.44,0.49,0.00,2.07,0.00,0.00,0.00,94.24,0.00,0.00,0.00,0.00,0.00,5.76,6.00,0.00,100.00,1213.00,81.62,18.38,3238.00,87.03,12.97,1259.00,22.72,69.10,8.18,2.57,2.77,1.73,1259.00,99.52,0.48,1290.00,5.74,6.28,19.38,46.05,22.56,1259.00,7.28,6.59,19.09,49.41,17.62,0.00,5.76,17.28,37.04,39.92,704.00,243.00,2.88,28.40,25.51,11.11,14.81,11.11,6.17,25.70,243.00,56.79,37.04,957.00,71.06,28.94,97.60,2.40,24.78,17.06,80.68,1.67
44001030300,4749,97.26,0.38,0.13,1.26,0.00,0.11,0.86,1.41,98.59,96.08,0.38,1.26,0.00,0.13,0.00,0.74,701.00,597.00,569.00,1488.00,31.33,12.63,57.17,4749.00,99.71,92.86,1679.00,4.59,0.00,38.36,721.00,1679.00,82.85,17.15,1391.00,10.89,0.81,88.31,744.00,3570.00,48.04,51.96,4478.00,1163.00,2.92,0.00,0.00,2715.00,0.81,1679.00,2.26,4749.00,5.92,281.00,22.78,64.00,39.06,4478.00,29.99,41.85,29.34,2301.00,4591.00,13.42,86.36,3129.00,0.45,1.02,6.87,17.64,4478.00,0.58,0.45,1803.00,41.76,79.95,3.32,1679.00,8.70,19.71,28.41,21.86,50.27,15.31,65.57,34.43,74806.00,1679.00,1.37,1391.00,4.17,16.39,23.22,17.40,38.82,82511.00,33437.00,4743.00,3.10,36.05,96.90,0.30,4743.00,0.57,2.53,2.70,2.09,7.89,22994.74,4743.00,67.35,82.83,1391.00,52.00,53.51,1679.00,43.93,85.50,1716.00,1678.00,91.42,8.58,1678.00,98.15,0.00,0.00,1.85,0.00,0.00,0.00,1678.00,97.98,0.00,0.00,2.02,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,77.27,22.73,1625.00,91.45,8.55,4735.00,90.22,9.78,1678.00,15.14,73.96,10.91,2.82,2.78,3.22,1678.00,100.00,0.00,1716.00,6.64,8.57,33.33,31.88,19.58,1678.00,7.43,8.34,35.27,31.81,17.14,0.00,13.19,13.89,29.86,43.06,929.00,144.00,13.19,29.17,33.33,3.47,6.94,6.94,6.94,21.00,144.00,75.69,17.36,1504.00,73.60,26.40,97.79,2.21,27.55,25.34,85.70,2.74
44001030400,3943,98.17,0.00,0.15,1.14,0.00,0.00,0.53,0.41,99.59,97.77,0.00,1.14,0.00,0.15,0.00,0.53,608.00,495.00,468.00,1287.00,32.64,13.82,55.16,3943.00,99.67,93.23,1372.00,2.99,0.87,41.40,621.00,1372.00,83.60,16.40,1147.00,6.55,1.92,91.53,626.00,2929.00,46.94,53.06,3677.00,957.00,3.34,0.00,0.00,2175.00,0.55,1372.00,0.00,3943.00,6.14,242.00,23.55,57.00,73.68,3677.00,35.06,18.77,50.19,1736.00,3806.00,15.42,61.16,2601.00,0.00,0.62,3.27,7.15,3666.00,0.22,0.35,1498.00,41.05,51.54,2.28,1372.00,7.22,12.68,19.90,9.55,29.45,15.45,44.90,55.10,110632.00,1372.00,0.36,1147.00,4.97,9.85,7.06,17.26,60.85,121632.00,54617.00,3943.00,3.60,23.94,96.40,0.31,3943.00,1.62,1.98,0.84,3.07,7.51,5136.62,3943.00,48.59,89.53,1147.00,58.97,54.42,1372.00,67.11,84.57,1430.00,1366.00,92.31,7.69,1366.00,98.83,0.00,0.00,1.17,0.00,0.00,0.00,1366.00,98.73,0.00,0.00,1.27,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,100.00,0.00,1341.00,92.17,7.83,3930.00,90.94,9.06,1366.00,14.06,72.69,13.25,2.88,2.83,3.39,1366.00,100.00,0.00,1430.00,4.06,5.87,19.51,33.78,36.78,1366.00,4.44,6.66,20.30,34.10,34.50,0.00,0.00,14.29,27.62,58.10,820.00,105.00,4.76,34.29,18.10,14.29,0.00,14.29,14.29,22.00,105.00,57.14,28.57,1182.00,81.56,18.44,95.52,4.48,36.29,35.45,89.57,1.44
44001030500,3406,94.86,2.03,0.12,0.26,0.00,0.47,2.26,0.76,99.24,94.63,1.79,0.26,0.00,0.12,0.18,2.26,345.00,276.00,253.00,799.00,23.46,13.39,64.00,3406.00,99.94,74.52,1565.00,10.29,3.71,13.48,430.00,1565.00,54.12,45.88,847.00,37.72,15.18,47.10,448.00,2760.00,46.96,53.04,3202.00,566.00,0.00, ,0.00,2180.00,2.29,1565.00,6.01,3406.00,12.04,410.00,5.85,24.00,100.00,3202.00,42.54,59.54,20.85,1739.00,3296.00,10.29,82.89,2286.00,3.85,9.19,32.94,32.02,3200.00,1.06,0.72,1448.00,25.76,76.14,2.68,1565.00,39.55,35.97,75.53,11.82,87.35,7.92,95.27,4.73,32396.00,1565.00,5.18,847.00,28.57,39.79,16.06,10.27,5.31,38233.00,17927.00,3406.00,13.65,30.75,86.35,0.21,3406.00,8.75,4.90,9.13,11.19,33.97,5354.76,3406.00,18.49,48.59,847.00,68.87,50.61,1565.00,44.33,57.25,1693.00,1570.00,32.55,67.45,1570.00,96.75,1.66,0.00,0.00,0.00,0.83,0.76,1570.00,98.63,1.37,0.00,0.00,0.00,0.00,0.00,95.85,1.79,0.00,0.00,0.00,1.23,1.13,19.00,0.00,100.00,1513.00,33.31,66.69,3404.00,41.19,58.81,1570.00,37.83,56.69,5.48,2.17,2.74,1.89,1570.00,97.39,2.61,1693.00,0.35,3.19,6.38,18.31,71.77,1570.00,0.00,3.91,5.09,10.37,80.63,0.57,3.21,7.74,23.51,64.97,539.00,1059.00,8.69,33.24,21.62,12.09,3.02,15.86,5.48,22.80,1059.00,63.55,30.97,257.00,77.04,22.96,92.73,7.27,12.82,5.07,77.75,1.73
44001030601,3610,96.84,0.53,0.42,0.50,0.00,0.17,1.55,0.97,99.03,96.04,0.53,0.50,0.00,0.42,0.00,1.55,337.00,276.00,312.00,916.00,25.37,14.38,61.22,3610.00,97.89,87.42,1327.00,4.52,0.60,31.35,484.00,1327.00,75.96,24.04,1008.00,12.20,1.63,86.18,492.00,2888.00,46.99,53.01,3396.00,667.00,0.00, ,0.00,2210.00,1.22,1327.00,1.81,3610.00,7.20,260.00,2.31,6.00,100.00,3396.00,27.06,59.41,21.65,1864.00,3498.00,11.15,63.59,2485.00,1.21,6.40,18.07,26.60,3315.00,0.21,1.03,1508.00,31.83,81.25,2.92,1327.00,18.84,21.93,40.77,27.58,68.35,15.83,84.17,15.83,55349.00,1327.00,1.36,1008.00,10.91,21.03,29.37,19.35,19.35,64559.00,26223.00,3524.00,2.70,23.16,97.30,0.25,3524.00,1.28,1.42,2.95,6.21,11.86,12941.67,3524.00,10.53,81.69,1008.00,50.00,48.79,1327.00,52.13,77.78,1412.00,1324.00,80.66,19.34,1324.00,96.90,0.53,0.30,1.06,0.00,0.00,1.21,1324.00,98.69,0.00,0.00,1.31,0.00,0.00,0.00,89.45,2.73,1.56,0.00,0.00,0.00,6.25,9.00,0.00,100.00,1274.00,82.73,17.27,3534.00,86.16,13.84,1324.00,20.69,69.41,9.89,2.67,2.85,1.91,1324.00,98.79,1.21,1412.00,12.46,23.37,26.20,16.64,21.32,1324.00,13.30,25.56,26.40,18.82,15.92,11.33,19.92,29.69,10.94,28.13,616.00,256.00,13.28,28.91,21.88,17.97,5.08,5.08,7.81,22.80,256.00,64.06,28.13,970.00,78.35,21.65,93.77,6.23,18.83,9.18,86.32,1.88
44001030602,4344,97.65,0.25,0.00,0.90,0.00,0.25,0.94,0.99,99.01,97.15,0.25,0.90,0.00,0.00,0.00,0.71,385.00,350.00,267.00,820.00,18.88,24.70,56.77,4344.00,95.53,78.80,1825.00,4.60,0.44,19.01,439.00,1825.00,64.44,35.56,1176.00,20.33,3.49,76.18,487.00,3672.00,45.89,54.11,4190.00,651.00,0.00, ,1.08,2466.00,0.53,1825.00,2.90,4344.00,7.92,344.00,18.90,65.00,70.77,4190.00,36.30,53.85,23.80,2020.00,4237.00,8.64,87.98,3258.00,1.10,8.69,20.23,29.47,3995.00,1.43,0.53,1979.00,24.15,75.73,2.30,1825.00,32.88,24.93,57.81,22.25,80.05,7.78,87.84,12.16,41318.00,1825.00,1.21,1176.00,19.64,26.02,28.57,9.61,16.16,55323.00,22855.00,4154.00,5.87,16.39,94.13,0.19,4154.00,2.29,3.59,7.90,11.31,25.08,2992.31,4154.00,22.95,71.71,1176.00,63.64,40.77,1825.00,33.55,70.76,1872.00,1814.00,64.88,35.12,1814.00,99.01,0.00,0.00,0.99,0.00,0.00,0.00,1814.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,97.17,0.00,0.00,2.83,0.00,0.00,0.00,7.00,100.00,0.00,1789.00,65.40,34.60,4150.00,73.78,26.22,1814.00,31.75,61.80,6.45,2.29,2.60,1.71,1814.00,99.23,0.77,1872.00,5.18,12.82,33.17,25.05,23.77,1814.00,7.73,13.00,30.08,26.59,22.60,0.00,11.77,41.60,22.61,24.02,531.00,637.00,6.44,29.04,23.23,12.56,8.16,9.58,10.99,23.90,637.00,58.71,30.30,1092.00,68.04,31.96,96.90,3.10,13.93,8.47,84.80,1.49
44001030700,4247,95.74,1.18,0.66,0.26,0.00,0.92,1.25,2.19,97.81,94.80,0.75,0.26,0.00,0.47,0.28,1.25,335.00,300.00,309.00,884.00,20.81,17.94,62.35,4247.00,99.41,72.95,1948.00,7.24,2.41,15.09,482.00,1948.00,54.98,45.02,1071.00,31.79,10.60,57.61,519.00,3545.00,45.90,54.10,4021.00,611.00,1.15,0.00,0.00,2648.00,6.57,1948.00,8.47,4247.00,21.80,926.00,11.66,108.00,88.89,4021.00,50.66,64.36,23.66,2083.00,4115.00,9.06,86.60,2909.00,2.72,17.81,38.23,23.31,4021.00,0.00,0.35,1897.00,23.09,72.15,1.60,1948.00,47.33,31.83,79.16,12.22,91.38,4.67,96.05,3.95,26313.00,1948.00,5.29,1071.00,36.60,33.80,18.11,6.16,5.32,38245.00,15987.00,4238.00,17.39,34.06,82.61,0.16,4238.00,6.39,11.00,11.56,15.64,44.60,860.07,4238.00,23.61,52.50,1071.00,96.27,41.62,1948.00,45.41,59.12,2043.00,1944.00,31.64,68.36,1944.00,96.91,0.62,0.41,0.21,0.00,0.87,0.98,1944.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,95.49,0.90,0.60,0.30,0.00,1.28,1.43,19.00,0.00,100.00,1872.00,32.85,67.15,4222.00,31.98,68.02,1944.00,37.40,56.48,6.12,2.17,2.20,2.16,1944.00,95.16,4.84,2043.00,1.91,1.47,7.88,19.33,69.41,1944.00,0.00,1.95,5.20,22.60,70.24,2.93,1.35,9.71,18.81,67.19,549.00,1329.00,7.67,28.52,19.56,14.15,4.14,18.06,7.90,24.10,1329.00,55.76,36.34,335.00,65.37,34.63,95.15,4.85,11.10,6.15,73.69,2.40
44001030800,5025,95.80,0.54,0.00,1.47,0.00,0.64,1.55,1.93,98.07,94.99,0.30,1.47,0.00,0.00,0.00,1.31,732.00,389.00,509.00,1144.00,22.77,12.76,73.55,5025.00,69.29,57.29,1484.00,5.26,1.15,17.72,358.00,1484.00,66.04,33.96,980.00,20.21,4.40,75.39,386.00,4435.00,47.89,52.11,4833.00,496.00,0.00, ,1.21,3696.00,1.57,1484.00,5.39,5025.00,10.93,549.00,15.48,85.00,85.88,4833.00,47.34,33.74,44.71,2326.00,4914.00,5.33,83.59,2529.00,2.37,10.56,26.97,26.69,4833.00,0.23,1.53,2295.00,15.95,70.22,1.37,1484.00,29.65,32.88,62.53,17.18,79.72,9.10,88.81,11.19,38143.00,1484.00,3.17,980.00,19.90,33.88,19.69,11.43,15.10,47849.00,16396.00,3473.00,7.14,14.11,92.86,0.20,3473.00,2.30,4.84,7.14,8.23,22.52,4271.43,3473.00,50.81,65.58,980.00,24.59,40.37,1484.00,44.57,70.55,1594.00,1495.00,60.33,39.67,1495.00,97.19,1.00,0.00,0.47,0.00,0.00,1.34,1495.00,97.01,0.78,0.00,0.78,0.00,0.00,1.44,97.47,1.35,0.00,0.00,0.00,0.00,1.18,13.00,0.00,100.00,1440.00,60.76,39.24,3482.00,66.11,33.89,1495.00,27.83,65.42,6.76,2.33,2.55,1.99,1495.00,99.20,0.80,1594.00,5.02,5.96,21.02,17.19,50.82,1495.00,6.65,7.10,24.61,17.85,43.79,2.36,5.23,17.03,16.86,58.52,598.00,593.00,6.91,30.69,20.07,12.98,6.75,12.98,9.61,23.40,593.00,57.67,32.72,646.00,68.73,31.27,93.79,6.21,15.82,10.76,68.19,5.93
44001030901,6172,98.22,0.60,0.00,0.00,0.00,0.55,0.63,1.86,98.14,96.91,0.60,0.00,0.00,0.00,0.00,0.63,675.00,589.00,543.00,1579.00,25.58,14.00,61.31,6172.00,95.59,88.14,2052.00,4.34,1.95,32.70,800.00,2052.00,81.68,18.32,1676.00,10.72,4.82,84.46,830.00,4904.00,51.28,48.72,5799.00,1151.00,0.00, ,0.61,3784.00,2.70,2052.00,5.26,6172.00,15.25,941.00,4.14,39.00,87.18,5799.00,26.99,55.14,23.00,3289.00,6024.00,11.22,61.83,4235.00,3.99,7.86,25.64,27.84,5531.00,0.67,0.45,2367.00,33.29,82.36,1.90,2052.00,13.69,26.36,40.06,31.48,71.54,16.08,87.62,12.38,55595.00,2052.00,2.58,1676.00,6.86,27.09,35.44,16.71,13.90,58679.00,21738.00,5887.00,3.99,28.09,96.01,0.25,5887.00,1.53,2.46,2.90,4.88,11.77,3582.07,5887.00,45.96,80.64,1676.00,100.00,48.51,2052.00,44.05,85.03,2135.00,2051.00,88.30,11.70,2051.00,98.93,0.00,0.00,0.00,0.00,0.39,0.68,2051.00,99.72,0.00,0.00,0.00,0.00,0.00,0.28,92.92,0.00,0.00,0.00,0.00,3.33,3.75,35.00,28.57,71.43,2002.00,89.71,10.29,5900.00,89.95,10.05,2051.00,13.94,74.89,11.17,2.88,2.93,2.47,2051.00,97.42,2.58,2135.00,16.91,16.07,37.42,22.86,6.74,2051.00,19.05,17.01,39.15,20.65,4.14,6.67,14.58,35.83,36.25,6.67,696.00,240.00,7.50,32.08,23.75,9.58,0.00,16.67,10.42,23.50,240.00,63.33,26.25,1717.00,67.85,32.15,96.07,3.93,15.14,7.25,85.77,0.73
