scode,RD_SLT_S_MH_PCT_SubUseOffDrugFreq_04,RD_SLT_S_MH_PCT_SubUseUsedDrugFreq_04,RD_SLT_S_MH_PCT_SubUseAlcFreq_04,RD_SLT_S_MH_PCT_SubPeerPressure_04,RD_SLT_S_MH_PCT_Used_Illegal_Drugs_04,RD_SLT_S_MH_PCT_TEASED_HASSLE_04,RD_SLT_S_MH_PCT_TEACHER_HASSLE_04,RD_SLT_S_MH_PCT_TALK_TEACH_ACADEM_04,RD_SLT_S_MH_PCT_TALK_TEACH_PERSONAL_04,RD_SLT_S_MH_PCT_STU_NO_GTALNG_04,RD_SLT_S_MH_PCT_TCH_INTERST_04,RD_SLT_S_MH_PCT_HELP_F_TCH_OFTN_04,RD_SLT_S_MH_PCT_LIKE_TIME_SCH_04,RD_SLT_S_MH_PCT_BELONG_SCH_04,RD_SLT_S_MH_PCT_Drg_alc_04,RD_SLT_S_MH_PCT_Drug_04,RD_SLT_S_MH_PCT_SubUseOffDrugFreq_05,RD_SLT_S_MH_PCT_SubUseUsedDrugFreq_05,RD_SLT_S_MH_PCT_SubUseAlcFreq_05,RD_SLT_S_MH_PCT_SubPeerPressure_05,RD_SLT_S_MH_PCT_Used_Illegal_Drugs_05,RD_SLT_S_MH_PCT_TEASED_HASSLE_05,RD_SLT_S_MH_PCT_TEACHER_HASSLE_05,RD_SLT_S_MH_PCT_TALK_TEACH_ACADEM_05,RD_SLT_S_MH_PCT_TALK_TEACH_PERSONAL_05,RD_SLT_S_MH_PCT_STU_NO_GTALNG_05,RD_SLT_S_MH_PCT_TCH_INTERST_05,RD_SLT_S_MH_PCT_HELP_F_TCH_OFTN_05,RD_SLT_S_MH_PCT_LIKE_TIME_SCH_05,RD_SLT_S_MH_PCT_BELONG_SCH_05,RD_SLT_S_MH_PCT_Drg_alc_05,RD_SLT_S_MH_PCT_Drug_05,RD_SLT_S_MH_PCT_SubUseOffDrugFreq_06,RD_SLT_S_MH_PCT_SubUseUsedDrugFreq_06,RD_SLT_S_MH_PCT_SubUseAlcFreq_06,RD_SLT_S_MH_PCT_SubPeerPressure_06,RD_SLT_S_MH_PCT_Used_Illegal_Drugs_06,RD_SLT_S_MH_PCT_TEASED_HASSLE_06,RD_SLT_S_MH_PCT_TEACHER_HASSLE_06,RD_SLT_S_MH_PCT_TALK_TEACH_ACADEM_06,RD_SLT_S_MH_PCT_TALK_TEACH_PERSONAL_06,RD_SLT_S_MH_PCT_STU_NO_GTALNG_06,RD_SLT_S_MH_PCT_TCH_INTERST_06,RD_SLT_S_MH_PCT_HELP_F_TCH_OFTN_06,RD_SLT_S_MH_PCT_LIKE_TIME_SCH_06,RD_SLT_S_MH_PCT_BELONG_SCH_06,RD_SLT_S_MH_PCT_Drg_alc_06,RD_SLT_S_MH_PCT_Drug_06,RD_SLT_S_MH_PCT_SubUseOffDrugFreq_07,RD_SLT_S_MH_PCT_SubUseUsedDrugFreq_07,RD_SLT_S_MH_PCT_SubUseAlcFreq_07,RD_SLT_S_MH_PCT_SubPeerPressure_07,RD_SLT_S_MH_PCT_Used_Illegal_Drugs_07,RD_SLT_S_MH_PCT_TEASED_HASSLE_07,RD_SLT_S_MH_PCT_TEACHER_HASSLE_07,RD_SLT_S_MH_PCT_TALK_TEACH_ACADEM_07,RD_SLT_S_MH_PCT_TALK_TEACH_PERSONAL_07,RD_SLT_S_MH_PCT_STU_NO_GTALNG_07,RD_SLT_S_MH_PCT_TCH_INTERST_07,RD_SLT_S_MH_PCT_HELP_F_TCH_OFTN_07,RD_SLT_S_MH_PCT_LIKE_TIME_SCH_07,RD_SLT_S_MH_PCT_BELONG_SCH_07,RD_SLT_S_MH_PCT_Drg_alc_07,RD_SLT_S_MH_PCT_Drug_07,RD_SLT_S_MH_PCT_SubUseOffDrugFreq_08,RD_SLT_S_MH_PCT_SubUseUsedDrugFreq_08,RD_SLT_S_MH_PCT_SubUseAlcFreq_08,RD_SLT_S_MH_PCT_SubPeerPressure_08,RD_SLT_S_MH_PCT_Used_Illegal_Drugs_08,RD_SLT_S_MH_PCT_TEASED_HASSLE_08,RD_SLT_S_MH_PCT_TEACHER_HASSLE_08,RD_SLT_S_MH_PCT_TALK_TEACH_ACADEM_08,RD_SLT_S_MH_PCT_TALK_TEACH_PERSONAL_08,RD_SLT_S_MH_PCT_STU_NO_GTALNG_08,RD_SLT_S_MH_PCT_TCH_INTERST_08,RD_SLT_S_MH_PCT_HELP_F_TCH_OFTN_08,RD_SLT_S_MH_PCT_LIKE_TIME_SCH_08,RD_SLT_S_MH_PCT_BELONG_SCH_08,RD_SLT_S_MH_PCT_Drg_alc_08,RD_SLT_S_MH_PCT_Drug_08
01106,16.5,17.8,14.3,6.9,31.4,8.5,14.3,60.7,16.6,11.4,29.7,13.6,32.0,48.1,52.2,31.4,14.7,15.1,12.3,5.2,24.9,8.5,13.3,65.6,14.7,9.2,33.8,14.1,35.2,50.9,43.7,24.9,11.3,13.0,10.0,5.2,21.4,7.6,13.1,67.0,16.3,8.9,34.0,13.3,39.5,53.9,40.6,21.4,9.2,12.8,11.2,6.2,22.5,9.4,12.3,66.2,15.3,9.8,36.0,15.1,39.3,53.4,38.8,22.5,7.9,9.5,4.9,3.6,18.6,7.8,11.8,68.0,15.6,8.5,29.8,11.9,35.5,51.9,27.2,18.6
01108,5.2,5.5,5.0,2.8,9.7,6.3,8.0,47.0,16.6,7.9,41.6,12.8,45.1,58.1,19.1,9.7,2.8,2.3,2.3,2.9,4.2,6.1,7.7,54.2,14.9,8.1,41.6,12.4,44.3,56.8,12.0,4.2,6.8,7.4,6.8,5.8,10.0,9.9,13.3,46.5,17.4,8.8,38.2,11.5,38.3,50.4,17.7,10.0,2.0,3.1,2.7,1.4,4.6,6.3,6.9,52.0,22.6,7.1,38.0,10.6,46.7,57.8,12.5,4.6,2.7,3.1,2.7,2.5,3.5,5.7,8.2,56.9,19.4,7.0,40.1,14.2,47.5,62.8,6.9,3.5
03104,8.1,7.6,7.1,5.4,12.5,13.0,16.9,31.7,16.6,20.8,28.8,8.5,29.6,31.9,27.2,12.5,6.0,6.3,6.8,4.3,10.9,11.1,14.9,34.9,16.9,20.1,31.2,11.9,26.6,33.2,26.2,10.9,4.8,7.6,7.6,5.5,11.8,11.9,18.1,37.9,17.6,20.0,28.3,10.2,27.9,37.0,27.0,11.8,8.7,9.2,9.7,9.1,13.9,15.6,16.1,40.4,17.4,21.5,32.4,15.1,30.1,38.7,28.1,13.9,6.2,7.7,7.2,8.2,14.3,13.4,17.7,33.9,17.3,15.1,32.8,12.5,31.4,36.0,27.6,14.3
03109,12.9,15.9,11.5,5.2,28.1,6.4,12.5,59.9,24.7,11.8,30.0,13.1,36.2,44.2,48.9,28.1,11.4,15.7,10.1,4.7,27.5,7.2,12.3,58.7,20.4,12.5,32.0,15.9,31.9,44.5,46.9,27.5,9.1,14.4,10.2,3.4,25.5,7.5,12.8,55.8,20.4,13.8,25.6,11.4,33.1,42.0,48.3,25.5,8.5,15.4,11.8,5.3,26.3,10.2,12.2,51.9,19.7,15.4,28.8,14.4,32.3,37.7,46.6,26.3,14.0,17.6,16.1,10.7,29.0,13.8,16.9,47.9,17.4,14.4,25.8,11.4,27.8,36.1,44.6,29.0
04108,7.5,6.5,7.2,3.4,17.9,8.7,13.0,37.2,15.9,21.7,38.6,14.9,41.3,43.1,37.6,17.9,7.4,8.2,9.5,4.3,18.4,10.6,14.5,33.7,14.2,25.4,33.1,15.6,33.9,39.3,43.2,18.4,8.1,6.1,8.0,5.8,14.2,11.4,13.9,32.4,17.4,27.6,32.5,15.0,30.2,38.6,38.2,14.2,4.9,6.4,8.0,4.5,16.1,8.1,10.8,35.6,17.1,22.9,36.5,15.4,37.8,38.0,38.5,16.1,4.0,5.1,5.8,2.5,13.9,5.7,10.8,36.5,16.1,18.7,30.4,15.4,35.6,38.4,30.1,13.9
04115,2.4,2.6,2.6,3.2,9.3,11.2,15.0,23.2,13.5,39.0,47.6,22.1,40.6,39.5,22.0,9.3,3.0,4.6,6.0,4.8,13.0,17.0,12.7,24.8,17.3,40.7,51.4,28.2,39.8,43.1,20.9,13.0,2.3,3.2,3.6,3.5,8.0,14.1,13.9,25.2,16.0,36.6,49.2,24.0,41.2,45.4,19.0,8.0,3.1,3.4,3.7,4.2,7.1,11.1,15.2,27.7,15.4,34.7,48.6,21.6,35.8,36.9,21.5,7.1,3.2,4.6,4.3,3.8,10.3,12.6,15.2,27.7,16.2,32.6,49.0,24.6,42.5,42.9,21.8,10.3
06104,2.2,3.1,1.3,2.5,6.7,10.6,11.2,39.9,21.3,19.5,47.2,15.9,34.4,41.0,15.2,6.7,3.8,2.6,2.6,3.0,7.1,9.6,10.9,40.7,20.1,18.5,44.3,17.0,33.4,43.4,20.2,7.1,3.1,4.0,3.9,3.9,7.0,10.6,12.8,41.1,19.8,14.6,43.9,16.7,32.9,44.4,17.8,7.0,2.7,3.1,3.4,2.1,7.2,8.9,9.1,43.9,18.6,13.5,36.4,12.9,33.6,45.0,15.1,7.2,3.2,2.1,1.3,2.8,4.5,10.2,10.6,39.8,17.4,16.3,39.9,15.7,33.9,43.0,11.7,4.5
06111,3.4,4.2,3.8,2.8,8.2,9.7,12.3,42.2,22.3,17.7,45.2,11.7,40.3,51.6,16.9,8.2,3.3,3.7,2.9,3.9,6.4,9.9,11.5,37.8,19.5,14.4,38.9,14.7,36.6,48.1,15.9,6.4,3.7,3.2,3.2,4.0,5.0,9.9,10.0,41.1,20.7,14.8,42.5,11.1,38.4,46.2,16.4,5.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
06119,17.7,18.4,14.0,7.8,33.7,13.5,17.0,48.6,17.0,22.8,28.1,11.6,26.3,35.1,49.1,33.7,18.6,18.4,14.1,7.5,32.0,11.9,15.5,47.0,13.2,17.9,27.9,12.2,25.1,35.3,49.7,32.0,20.9,21.5,16.2,9.8,37.0,14.0,17.5,46.9,15.3,19.7,29.2,13.0,26.9,36.3,50.8,37.0,19.0,19.4,17.1,9.2,32.8,13.0,17.6,47.0,15.7,18.9,28.3,11.4,25.6,34.5,49.6,32.8,16.6,17.9,13.3,8.9,30.1,11.7,17.2,49.7,17.9,17.5,28.4,11.3,26.1,36.2,44.1,30.1
06120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26.5,22.2,26.0,13.1,51.5,20.0,21.6,47.6,23.3,25.3,32.7,16.0,20.8,33.3,61.0,51.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
