STATECODE1011,STATECODE0910,STATECODE0809,STATECODE0708,STATECODE0607,STATECODE0506,STATECODE0405,LabelSchoolNameShort1011,LabelSchoolNameShort0910,LabelSchoolNameShort0809,LabelSchoolNameShort0708,LabelSchoolNameShort0607,LabelSchoolNameShort0506,LabelSchoolNameShort0405,LabelSchoolNameLong1011,LabelSchoolNameLong0910,LabelSchoolNameLong0809,LabelSchoolNameLong0708,LabelSchoolNameLong0607,LabelSchoolNameLong0506,LabelSchoolNameLong0405,DSTCODE1011,DSTCODE0910,DSTCODE0809,DSTCODE0708,DSTCODE0607,DSTCODE0506,DSTCODE0405,DISTRICTNAME1011,DISTRICTNAME0910,DISTRICTNAME0809,DISTRICTNAME0708,DISTRICTNAME0607,DISTRICTNAME0506,DISTRICTNAME0405,SchNameDistName1011,SchNameDistName0910,SchNameDistName0809,SchNameDistName0708,SchNameDistName0607,SchNameDistName0506,SchNameDistName0405,CORECITY61011,CORECITY60910,CORECITY60809,CORECITY60708,CORECITY60607,CORECITY60506,CORECITY60405,GRADECONFIG1011,ELEM1011,MIDDLE1011,HIGH1011,GRADECONFIG0910,ELEM0910,MIDDLE0910,HIGH0910,GRADECONFIG0809,ELEM0809,MIDDLE0809,HIGH0809,GRADECONFIG0708,ELEM0708,MIDDLE0708,HIGH0708,GRADECONFIG0607,ELEM0607,MIDDLE0607,HIGH0607,GRADECONFIG0506,ELEM0506,MIDDLE0506,HIGH0506,GRADECONFIG0405,ELEM0405,MIDDLE0405,HIGH0405,CHARTER1011,CHARTER0910,CHARTER0809,CHARTER0708,CHARTER0607,CHARTER0506,CHARTER0405,GRCONFIG1011,GRCONFIG0910,GRCONFIG0809,GRCONFIG0708,GRCONFIG0607,GRCONFIG0506,GRCONFIG0405
01103,01103,01103,01103,01103,01103,01103,Primrose Hill,Primrose Hill,Primrose Hill,Primrose Hill,Primrose Hill,Primrose Hill,Primrose Hill,Primrose Hill School,Primrose Hill School,Primrose Hill School,Primrose Hill School,Primrose Hill School,Primrose Hill School,Primrose Hill School,01,01,01,01,01,01,01,Barrington,Barrington,Barrington,Barrington,Barrington,Barrington,Barrington,Primrose Hill- Barrington,Primrose Hill- Barrington,Primrose Hill- Barrington,Primrose Hill- Barrington,Primrose Hill- Barrington,Primrose Hill- Barrington,Primrose Hill- Barrington,No,No,No,No,No,No,No,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,No,No,No,No,No,No,No,Grades PK - 03,Grades PK - 03,Grades PK - 03,Grades PK - 03,Grades PK - 03,Grades PK - 03,Grades PK - 03
01104,01104,01104,01104,01104,01104,01104,Nayatt School,Nayatt School,Nayatt School,Nayatt School,Nayatt School,Nayatt School,Nayatt School,Nayatt School,Nayatt School,Nayatt School,Nayatt School,Nayatt School,Nayatt School,Nayatt School,01,01,01,01,01,01,01,Barrington,Barrington,Barrington,Barrington,Barrington,Barrington,Barrington,Nayatt- Barrington,Nayatt- Barrington,Nayatt School- Barrington,Nayatt School- Barrington,Nayatt School- Barrington,Nayatt School- Barrington,Nayatt School- Barrington,No,No,No,No,No,No,No,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,No,No,No,No,No,No,No,Grades PK - 03,Grades PK - 03,Grades PK - 03,Grades PK - 03,Grades PK - 03,Grades PK - 03,Grades PK - 03
01105,01105,01105,01105,01105,01105,01105,Hampden Meadows,Hampden Meadows,Hampden Meadows,Hampden Meadows,Hampden Meadows,Hampden Meadows,Hampden Meadows,Hampden Meadows School,Hampden Meadows School,Hampden Meadows School,Hampden Meadows School,Hampden Meadows School,Hampden Meadows School,Hampden Meadows School,01,01,01,01,01,01,01,Barrington,Barrington,Barrington,Barrington,Barrington,Barrington,Barrington,Hampden Meadows- Barrington,Hampden Meadows- Barrington,Hampden Meadows- Barrington,Hampden Meadows- Barrington,Hampden Meadows- Barrington,Hampden Meadows- Barrington,Hampden Meadows- Barrington,No,No,No,No,No,No,No,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,No,No,No,No,No,No,No,Grades 04 - 05,Grades 04 - 05,Grades 04 - 05,Grades 04 - 05,Grades 04 - 05,Grades 04 - 05,Grades 04 - 05
01106,01106,01106,01106,01106,01106,01106,Barrington HS,Barrington HS,Barrington HS,Barrington HS,Barrington HS,Barrington HS,Barrington HS,Barrington High School,Barrington High School,Barrington High School,Barrington High School,Barrington High School,Barrington High School,Barrington High School,01,01,01,01,01,01,01,Barrington,Barrington,Barrington,Barrington,Barrington,Barrington,Barrington,Barrington HS- Barrington,Barrington HS- Barrington,Barrington HS- Barrington,Barrington HS- Barrington,Barrington HS- Barrington,Barrington HS- Barrington,Barrington HS- Barrington,No,No,No,No,No,No,No,High,,,HIGH,High,,,HIGH,High,,,HIGH,High,,,HIGH,High,,,HIGH,High,,,HIGH,High,,,HIGH,No,No,No,No,No,No,No,Grades 09 - 12,Grades 09 - 12,Grades 09 - 12,Grades 09 - 12,Grades 09 - 12,Grades 09 - 12,Grades 09 - 12
01108,01108,01108,01108,01108,01108,01108,Barrington MS,Barrington MS,Barrington MS,Barrington MS,Barrington MS,Barrington MS,Barrington MS,Barrington Middle School,Barrington Middle School,Barrington Middle School,Barrington Middle School,Barrington Middle School,Barrington Middle School,Barrington Middle School,01,01,01,01,01,01,01,Barrington,Barrington,Barrington,Barrington,Barrington,Barrington,Barrington,Barrington MS- Barrington,Barrington MS- Barrington,Barrington MS- Barrington,Barrington MS- Barrington,Barrington MS- Barrington,Barrington MS- Barrington,Barrington MS- Barrington,No,No,No,No,No,No,No,Middle,,MIDDLE,,Middle,,MIDDLE,,Middle,,MIDDLE,,Middle,,MIDDLE,,Middle,,MIDDLE,,Middle,,MIDDLE,,Middle,,MIDDLE,,No,No,No,No,No,No,No,Grades 06 - 08,Grades 06 - 08,Grades 06 - 08,Grades 06 - 08,Grades 06 - 08,Grades 06 - 08,Grades 06 - 08
01109,01109,01109,01109,01109,01109,01109,Sowams,Sowams,Sowams,Sowams,Sowams,Sowams,Sowams,Sowams Elementary School,Sowams Elementary School,Sowams Elementary School,Sowams Elementary School,Sowams Elementary School,Sowams Elementary School,Sowams Elementary School,01,01,01,01,01,01,01,Barrington,Barrington,Barrington,Barrington,Barrington,Barrington,Barrington,Sowams- Barrington,Sowams- Barrington,Sowams- Barrington,Sowams- Barrington,Sowams- Barrington,Sowams- Barrington,Sowams- Barrington,No,No,No,No,No,No,No,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,No,No,No,No,No,No,No,Grades KG - 03,Grades KG - 03,Grades KG - 03,Grades KG - 03,Grades KG - 03,Grades KG - 03,Grades KG - 03
03104,03104,03104,03104,03104,03104,03104,Burrillville MS,Burrillville MS,Burrillville MS,Burrillville MS,Burrillville MS,Burrillville MS,Burrillville MS,Burrillville Middle School,Burrillville Middle School,Burrillville Middle School,Burrillville Middle School,Burrillville Middle School,Burrillville Middle School,Burrillville Middle School,03,03,03,03,03,03,03,Burrillville,Burrillville,Burrillville,Burrillville,Burrillville,Burrillville,Burrillville,Burrillville MS- Burrillville,Burrillville MS- Burrillville,Burrillville MS- Burrillville,Burrillville MS- Burrillville,Burrillville MS- Burrillville,Burrillville MS- Burrillville,Burrillville MS- Burrillville,No,No,No,No,No,No,No,Middle,,MIDDLE,,Middle,,MIDDLE,,Middle,,MIDDLE,,Middle,,MIDDLE,,Middle,,MIDDLE,,Middle,,MIDDLE,,Middle,,MIDDLE,,No,No,No,No,No,No,No,Grades 06 - 08,Grades 06 - 08,Grades 06 - 08,Grades 06 - 08,Grades 06 - 08,Grades 06 - 08,Grades 06 - 08
03105,03105,03105,03105,03105,03105,03105,Steere Farm,Steere Farm,Steere Farm,Steere Farm,Steere Farm,Steere Farm,Steere Farm,Steere Farm Elementary School,Steere Farm Elementary School,Steere Farm Elementary School,Steere Farm Elementary School,Steere Farm Elementary School,Steere Farm Elementary School,Steere Farm Elementary School,03,03,03,03,03,03,03,Burrillville,Burrillville,Burrillville,Burrillville,Burrillville,Burrillville,Burrillville,Steere Farm- Burrillville,Steere Farm- Burrillville,Steere Farm- Burrillville,Steere Farm- Burrillville,Steere Farm- Burrillville,Steere Farm- Burrillville,Steere Farm- Burrillville,No,No,No,No,No,No,No,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,No,No,No,No,No,No,No,"PreK, Grades 02 - 05",Grades 02 - 05,Grades 02 - 05,Grades 02 - 05,Grades 02 - 05,Grades 02 - 05,Grades 02 - 05
03107,03107,03107,03107,03107,03107,03107,Callahan,Callahan,Callahan,Callahan,Callahan,Callahan,Callahan,William L. Callahan School,William L. Callahan School,William L. Callahan School,William L. Callahan School,William L. Callahan School,William L. Callahan School,William L. Callahan School,03,03,03,03,03,03,03,Burrillville,Burrillville,Burrillville,Burrillville,Burrillville,Burrillville,Burrillville,Callahan- Burrillville,Callahan- Burrillville,Callahan- Burrillville,Callahan- Burrillville,Callahan- Burrillville,Callahan- Burrillville,Callahan- Burrillville,No,No,No,No,No,No,No,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,No,No,No,No,No,No,No,Grades 02 - 05,Grades 02 - 05,Grades 02 - 05,Grades 02 - 05,Grades 02 - 05,Grades 02 - 05,Grades 02 - 05
03108,03108,03108,03108,03108,03108,03108,Levy,Levy,Levy,Levy,Levy,Levy,Levy,Austin T. Levy School,Austin T. Levy School,Austin T. Levy School,Austin T. Levy School,Austin T. Levy School,Austin T. Levy School,Austin T. Levy School,03,03,03,03,03,03,03,Burrillville,Burrillville,Burrillville,Burrillville,Burrillville,Burrillville,Burrillville,Levy- Burrillville,Levy- Burrillville,Levy- Burrillville,Levy- Burrillville,Levy- Burrillville,Levy- Burrillville,Levy- Burrillville,No,No,No,No,No,No,No,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,Elementary,ELEM,,,No,No,No,No,No,No,No,Grades KG - 01,Grades KG - 01,Grades PK - 01,Grades PK - 01,Grades PK - 01,Grades PK - 01,Grades PK - 01
