school1,DCFY_atrisk_DENOM,SUMDCFY_atrisk_Flag,ALL_RISKS,meanDCFY_atrisk_FLAG,total_enroll_mean,SUM_touch_DCYF_2008,number_of_students,pct_atrisk,PCT_teen_mom,M_mt_2healthrisks_intract,M_ever_retained_prior0809,M_Ever_Poverty_prior0809,M_Chronic_abs_0708,M_SchMoves_GT_2_ever,TouchDCYF_per1000,at_risk_school,violence_susp_per1000,Disaffection_susp_per1000,ANGER_susp_per1000,SUBSTANCEUSE_susp_per1000,PCT_Reading_Proficiency,PCT_MATH_Proficiency,ATRISK_06_P,ATRISK_07_P,ATRISK_08_P,ATRISK_09_P,ATRISK_10_P,ATRISK_11_P,ATRISK_12_P,NONRISK_06_P,NONRISK_07_P,NONRISK_08_P,NONRISK_09_P,NONRISK_10_P,NONRISK_11_P,NONRISK_12_P,M_touch_Ever_AV_sch_2008,
1106,1171,9,0.10,0.01,1.02,8.00,1171.00,0.77,0.00,0.00,0.09,4.22,5.58,0.26,6.83,0.00,7.69,20.50,2.56,3.42,93.12,64.20, , , ,0.00,0.33,0.71,2.12, , , ,100.00,99.67,99.29,97.88,0.51,
1108,812,1,0.10,0.00,1.00,1.00,812.00,0.12,0.00,0.12,0.37,5.32,4.09,0.12,1.23,0.00,4.93,1.23, , ,93.16,89.68,0.00,0.00,0.37, , , , ,100.00,100.00,99.63, , , , ,0.00,
3104,565,12,0.54,0.02,1.09,4.00,565.00,2.12,0.00,0.54,4.42,41.86,7.79,1.42,7.08,0.00,46.02,44.25,10.62,1.77,66.54,52.13,1.08,2.12,3.16, , , , ,98.92,97.88,96.84, , , , ,0.00,
3109,898,30,0.54,0.03,1.09,15.00,898.00,3.34,0.00,0.89,4.57,32.69,11.49,1.00,16.70,0.00,34.52,142.54,11.14,10.02,72.41,30.46, , , ,5.37,3.93,2.64,1.00, , , ,94.63,96.07,97.36,99.00,4.01,
4108,986,342,2.18,0.35,1.16,12.00,986.00,34.69,1.44,77.32,6.29,94.19,41.09,3.55,12.17,1.00,12.17,9.13, , ,45.81,5.13, , , ,37.38,36.23,31.80,31.38, , , ,62.62,63.77,68.20,68.62,4.16,
4115,886,178,1.96,0.20,1.14,3.00,886.00,20.09,0.00,77.76,3.05,95.72,22.58,5.76,3.39,1.00,16.93,5.64,3.39, ,43.29,27.00,18.57,20.30,21.43, , , , ,81.43,79.70,78.57, , , , ,0.11,
6104,1281,8,0.38,0.01,1.05,1.00,1281.00,0.62,0.00,0.31,0.23,30.04,6.95,0.86,0.78,0.00,36.69,17.95,2.34, ,79.39,63.73,0.25,0.92,0.67, , , , ,99.75,99.08,99.33, , , , ,0.00,
6119,1906,130,1.36,0.07,1.07,17.00,1906.00,6.82,0.00,0.16,1.15,25.56,8.84,1.31,8.92,0.00,32.53,129.59,2.10,0.52,65.91,30.08, , , ,9.37,6.48,7.01,3.91, , , ,90.63,93.52,92.99,96.09,100.00,
7103,43,0,0.16,0.00,1.00,0.00,43.00,0.00, ,0.00,0.00,11.90,4.76,0.00,0.00,0.00, , , , ,83.72,69.77,0.00, , , , , , ,100.00, , , , , , ,0.00,
7110,46,0,0.41,0.00,1.02,0.00,46.00,0.00, ,2.17,0.00,33.33,6.67,0.00,0.00,0.00, , , , ,77.27,52.27,0.00, , , , , , ,100.00, , , , , , ,0.00,
