district_code,district_name,LEA_type,LEA_Active,enroll_1112,enroll_lunchF_1112,enroll_lunchR_1112,enroll_lunchP_1112,PCT_FREE_1112,PCT_FREE_SUP_1112,NUM_FREE_SUP_1112,PCT_RED_1112,PCT_RED_SUP_1112,NUM_RED_SUP_1112,PCT_PAID_1112,PCT_PAID_SUP_1112,NUM_PAID_SUP_1112,NUM_FREERED_1112,PCT_FREERED_1112,PCT_FREERED_SUP_1112,NUM_FREERED_SUP_1112,enroll_lunchF_1011,enroll_lunchP_1011,enroll_lunchR_1011,enroll_1011,PCT_FREE_1011,PCT_FREE_SUP_1011,NUM_FREE_SUP_1011,PCT_RED_1011,PCT_RED_SUP_1011,NUM_RED_SUP_1011,PCT_PAID_1011,PCT_PAID_SUP_1011,NUM_PAID_SUP_1011,NUM_FREERED_1011,PCT_FREERED_1011,PCT_FREERED_SUP_1011,NUM_FREERED_SUP_1011,enroll_0910,enroll_lunchF_0910,enroll_lunchR_0910,enroll_lunchP_0910,PCT_FREE_0910,PCT_FREE_SUP_0910,NUM_FREE_SUP_0910,PCT_RED_0910,PCT_RED_SUP_0910,NUM_RED_SUP_0910,PCT_PAID_0910,PCT_PAID_SUP_0910,NUM_PAID_SUP_0910,NUM_FREERED_0910,PCT_FREERED_0910,PCT_FREERED_SUP_0910,NUM_FREERED_SUP_0910,enroll_0809,enroll_lunchF_0809,enroll_lunchR_0809,enroll_lunchP_0809,PCT_FREE_0809,PCT_FREE_SUP_0809,NUM_FREE_SUP_0809,PCT_RED_0809,PCT_RED_SUP_0809,NUM_RED_SUP_0809,PCT_PAID_0809,PCT_PAID_SUP_0809,NUM_PAID_SUP_0809,NUM_FREERED_0809,PCT_FREERED_0809,PCT_FREERED_SUP_0809,NUM_FREERED_SUP_0809,enroll_0708,enroll_lunchF_0708,enroll_lunchR_0708,enroll_lunchP_0708,PCT_FREE_0708,PCT_FREE_SUP_0708,NUM_FREE_SUP_0708,PCT_RED_0708,PCT_RED_SUP_0708,NUM_RED_SUP_0708,PCT_PAID_0708,PCT_PAID_SUP_0708,NUM_PAID_SUP_0708,NUM_FREERED_0708,PCT_FREERED_0708,PCT_FREERED_SUP_0708,NUM_FREERED_SUP_0708,enroll_0607,enroll_lunchF_0607,enroll_lunchR_0607,enroll_lunchP_0607,PCT_FREE_0607,PCT_FREE_SUP_0607,NUM_FREE_SUP_0607,PCT_RED_0607,PCT_RED_SUP_0607,NUM_RED_SUP_0607,PCT_PAID_0607,PCT_PAID_SUP_0607,NUM_PAID_SUP_0607,NUM_FREERED_0607,PCT_FREERED_0607,PCT_FREERED_SUP_0607,NUM_FREERED_SUP_0607,enroll_0506,enroll_lunchF_0506,enroll_lunchR_0506,enroll_lunchP_0506,PCT_FREE_0506,PCT_FREE_SUP_0506,NUM_FREE_SUP_0506,PCT_RED_0506,PCT_RED_SUP_0506,NUM_RED_SUP_0506,PCT_PAID_0506,PCT_PAID_SUP_0506,NUM_PAID_SUP_0506,NUM_FREERED_0506,PCT_FREERED_0506,PCT_FREERED_SUP_0506,NUM_FREERED_SUP_0506
01,Barrington,LEA,Y,3429,154,42,3233,4.5,4.5,154,1.2,1.2,42,94.3,94.3,3233,196,5.7,5.7,196,117.00,3349.00,46.00,3512,3.3,3.3,117,1.3,1.3,46,95.4,95.4,3349,163,4.6,4.6,163,3434,97,42,3295,2.8,2.8,97,1.2,1.2,42,96.0,96.0,3295,139,4.0,4.0,139,3446,87,40,3319,2.5,2.5,87,1.2,1.2,40,96.3,96.3,3319,127,3.7,3.7,127,3467,75,42,3350,2.2,2.2,75,1.2,1.2,42,96.6,96.6,3350,117,3.4,3.4,117,3492,65,48,3379,1.9,1.9,65,1.4,1.4,48,96.8,96.8,3379,113,3.2,3.2,113,3424,51,35,3338,1.5,1.5,51,1.0,1.0,35,97.5,97.5,3338,86,2.5,2.5,86
03,Burrillville,LEA,Y,2464,601,218,1645,24.4,24.4,601,8.8,8.8,218,66.8,66.8,1645,819,33.2,33.2,819,647.00,1629.00,203.00,2479,26.1,26.1,647,8.2,8.2,203,65.7,65.7,1629,850,34.3,34.3,850,2513,528,199,1786,21.0,21.0,528,7.9,7.9,199,71.1,71.1,1786,727,28.9,28.9,727,2573,494,217,1862,19.2,19.2,494,8.4,8.4,217,72.4,72.4,1862,711,27.6,27.6,711,2589,439,202,1948,17.0,17.0,439,7.8,7.8,202,75.2,75.2,1948,641,24.8,24.8,641,2571,361,246,1964,14.0,14.0,361,9.6,9.6,246,76.4,76.4,1964,607,23.6,23.6,607,2559,362,211,1986,14.1,14.1,362,8.2,8.2,211,77.6,77.6,1986,573,22.4,22.4,573
04,Central Falls,LEA,Y,2700,2206,127,367,81.7,81.7,2206,4.7,4.7,127,13.6,13.6,367,2333,86.4,86.4,2333,2027.00,341.00,127.00,2495,81.2,81.2,2027,5.1,5.1,127,13.7,13.7,341,2154,86.3,86.3,2154,2862,1914,267,681,66.9,66.9,1914,9.3,9.3,267,23.8,23.8,681,2181,76.2,76.2,2181,3181,2397,334,450,75.4,75.4,2397,10.5,10.5,334,14.1,14.1,450,2731,85.9,85.9,2731,3341,2294,228,819,68.7,68.7,2294,6.8,6.8,228,24.5,24.5,819,2522,75.5,75.5,2522,3491,2201,338,952,63.0,63.0,2201,9.7,9.7,338,27.3,27.3,952,2539,72.7,72.7,2539,3604,2364,437,803,65.6,65.6,2364,12.1,12.1,437,22.3,22.3,803,2801,77.7,77.7,2801
06,Coventry,LEA,Y,5110,1170,307,3633,22.9,22.9,1170,6.0,6.0,307,71.1,71.1,3633,1477,28.9,28.9,1477,1128.00,3909.00,285.00,5322,21.2,21.2,1128,5.4,5.4,285,73.4,73.4,3909,1413,26.6,26.6,1413,5401,903,307,4191,16.7,16.7,903,5.7,5.7,307,77.6,77.6,4191,1210,22.4,22.4,1210,5464,924,291,4249,16.9,16.9,924,5.3,5.3,291,77.8,77.8,4249,1215,22.2,22.2,1215,5478,771,229,4478,14.1,14.1,771,4.2,4.2,229,81.7,81.7,4478,1000,18.3,18.3,1000,5635,504,233,4898,8.9,8.9,504,4.1,4.1,233,86.9,86.9,4898,737,13.1,13.1,737,5854,523,241,5090,8.9,8.9,523,4.1,4.1,241,86.9,86.9,5090,764,13.1,13.1,764
07,Cranston,LEA,Y,10683,3148,522,7013,29.5,29.5,3148,4.9,4.9,522,65.6,65.6,7013,3670,34.4,34.4,3670,3540.00,6641.00,579.00,10760,32.9,32.9,3540,5.4,5.4,579,61.7,61.7,6641,4119,38.3,38.3,4119,10774,2859,584,7331,26.5,26.5,2859,5.4,5.4,584,68.0,68.0,7331,3443,32.0,32.0,3443,10680,2395,653,7632,22.4,22.4,2395,6.1,6.1,653,71.5,71.5,7632,3048,28.5,28.5,3048,10819,2354,476,7989,21.8,21.8,2354,4.4,4.4,476,73.8,73.8,7989,2830,26.2,26.2,2830,10960,1870,584,8506,17.1,17.1,1870,5.3,5.3,584,77.6,77.6,8506,2454,22.4,22.4,2454,10923,1905,550,8468,17.4,17.4,1905,5.0,5.0,550,77.5,77.5,8468,2455,22.5,22.5,2455
08,Cumberland,LEA,Y,4686,827,214,3645,17.6,17.6,827,4.6,4.6,214,77.8,77.8,3645,1041,22.2,22.2,1041,829.00,3835.00,195.00,4859,17.1,17.1,829,4.0,4.0,195,78.9,78.9,3835,1024,21.1,21.1,1024,5025,758,252,4015,15.1,15.1,758,5.0,5.0,252,79.9,79.9,4015,1010,20.1,20.1,1010,5035,627,237,4171,12.5,12.5,627,4.7,4.7,237,82.8,82.8,4171,864,17.2,17.2,864,5032,591,179,4262,11.7,11.7,591,3.6,3.6,179,84.7,84.7,4262,770,15.3,15.3,770,5176,479,212,4485,9.3,9.3,479,4.1,4.1,212,86.6,86.6,4485,691,13.4,13.4,691,5194,467,207,4520,9.0,9.0,467,4.0,4.0,207,87.0,87.0,4520,674,13.0,13.0,674
09,East Greenwich,LEA,Y,2393,119,26,2248,5.0,5.0,119,1.1,1.1,26,93.9,93.9,2248,145,6.1,6.1,145,136.00,2254.00,20.00,2410,5.6,5.6,136,.8,.8,20,93.5,93.5,2254,156,6.5,6.5,156,2393,134,28,2231,5.6,5.6,134,1.2,1.2,28,93.2,93.2,2231,162,6.8,6.8,162,2392,122,28,2242,5.1,5.1,122,1.2,1.2,28,93.7,93.7,2242,150,6.3,6.3,150,2391,123,17,2251,5.1,5.1,123,.7,.7,17,94.1,94.1,2251,140,5.9,5.9,140,2407,110,16,2281,4.6,4.6,110,.7,.7,16,94.8,94.8,2281,126,5.2,5.2,126,2429,99,16,2314,4.1,4.1,99,.7,.7,16,95.3,95.3,2314,115,4.7,4.7,115
10,East Providence,LEA,Y,5597,2030,469,3098,36.3,36.3,2030,8.4,8.4,469,55.4,55.4,3098,2499,44.6,44.6,2499,2070.00,3045.00,441.00,5556,37.3,37.3,2070,7.9,7.9,441,54.8,54.8,3045,2511,45.2,45.2,2511,5740,1807,568,3365,31.5,31.5,1807,9.9,9.9,568,58.6,58.6,3365,2375,41.4,41.4,2375,5813,1569,486,3758,27.0,27.0,1569,8.4,8.4,486,64.6,64.6,3758,2055,35.4,35.4,2055,5785,1619,525,3641,28.0,28.0,1619,9.1,9.1,525,62.9,62.9,3641,2144,37.1,37.1,2144,5895,1379,597,3919,23.4,23.4,1379,10.1,10.1,597,66.5,66.5,3919,1976,33.5,33.5,1976,5840,1376,601,3863,23.6,23.6,1376,10.3,10.3,601,66.1,66.1,3863,1977,33.9,33.9,1977
12,Foster,LEA,Y,284,48,5,231,16.9,16.9,48,1.8,1.8,5,81.3,81.3,231,53,18.7,18.7,53,40.00,226.00,12.00,278,14.4,14.4,40,4.3,4.3,12,81.3,81.3,226,52,18.7,18.7,52,257,15,1,241,5.8,5.8,15,.4,-1.0,-1,93.8,93.8,241,16,6.2,6.2,16,248,26,1,221,10.5,10.5,26,.4,-1.0,-1,89.1,89.1,221,27,10.9,10.9,27,272,28,4,240,10.3,10.3,28,1.5,-1.0,-1,88.2,88.2,240,32,11.8,11.8,32,300,24,12,264,8.0,8.0,24,4.0,4.0,12,88.0,88.0,264,36,12.0,12.0,36,302,21,22,259,7.0,7.0,21,7.3,7.3,22,85.8,85.8,259,43,14.2,14.2,43
13,Glocester,LEA,Y,579,72,24,483,12.4,12.4,72,4.1,4.1,24,83.4,83.4,483,96,16.6,16.6,96,87.00,468.00,36.00,591,14.7,14.7,87,6.1,6.1,36,79.2,79.2,468,123,20.8,20.8,123,596,70,38,488,11.7,11.7,70,6.4,6.4,38,81.9,81.9,488,108,18.1,18.1,108,631,81,31,519,12.8,12.8,81,4.9,4.9,31,82.3,82.3,519,112,17.7,17.7,112,664,83,21,560,12.5,12.5,83,3.2,3.2,21,84.3,84.3,560,104,15.7,15.7,104,676,66,22,588,9.8,9.8,66,3.3,3.3,22,87.0,87.0,588,88,13.0,13.0,88,718,55,43,620,7.7,7.7,55,6.0,6.0,43,86.4,86.4,620,98,13.6,13.6,98
