school_code,enroll_1112,enroll_lunchF_1112,enroll_lunchR_1112,enroll_lunchP_1112,PCT_FREE_1112,PCT_FREE_SUP_1112,NUM_FREE_SUP_1112,PCT_RED_1112,PCT_RED_SUP_1112,NUM_RED_SUP_1112,PCT_PAID_1112,PCT_PAID_SUP_1112,NUM_PAID_SUP_1112,NUM_FREERED_1112,PCT_FREERED_1112,PCT_FREERED_SUP_1112,NUM_FREERED_SUP_1112,enroll_lunchF_1011,enroll_lunchP_1011,enroll_lunchR_1011,enroll_1011,PCT_FREE_1011,PCT_FREE_SUP_1011,NUM_FREE_SUP_1011,PCT_RED_1011,PCT_RED_SUP_1011,NUM_RED_SUP_1011,PCT_PAID_1011,PCT_PAID_SUP_1011,NUM_PAID_SUP_1011,NUM_FREERED_1011,PCT_FREERED_1011,PCT_FREERED_SUP_1011,NUM_FREERED_SUP_1011,enroll_0910,enroll_lunchF_0910,enroll_lunchR_0910,enroll_lunchP_0910,PCT_FREE_0910,PCT_FREE_SUP_0910,NUM_FREE_SUP_0910,PCT_RED_0910,PCT_RED_SUP_0910,NUM_RED_SUP_0910,PCT_PAID_0910,PCT_PAID_SUP_0910,NUM_PAID_SUP_0910,NUM_FREERED_0910,PCT_FREERED_0910,PCT_FREERED_SUP_0910,NUM_FREERED_SUP_0910,enroll_0809,enroll_lunchF_0809,enroll_lunchR_0809,enroll_lunchP_0809,PCT_FREE_0809,PCT_FREE_SUP_0809,NUM_FREE_SUP_0809,PCT_RED_0809,PCT_RED_SUP_0809,NUM_RED_SUP_0809,PCT_PAID_0809,PCT_PAID_SUP_0809,NUM_PAID_SUP_0809,NUM_FREERED_0809,PCT_FREERED_0809,PCT_FREERED_SUP_0809,NUM_FREERED_SUP_0809,enroll_0708,enroll_lunchF_0708,enroll_lunchR_0708,enroll_lunchP_0708,PCT_FREE_0708,PCT_FREE_SUP_0708,NUM_FREE_SUP_0708,PCT_RED_0708,PCT_RED_SUP_0708,NUM_RED_SUP_0708,PCT_PAID_0708,PCT_PAID_SUP_0708,NUM_PAID_SUP_0708,NUM_FREERED_0708,PCT_FREERED_0708,PCT_FREERED_SUP_0708,NUM_FREERED_SUP_0708,enroll_0607,enroll_lunchF_0607,enroll_lunchR_0607,enroll_lunchP_0607,PCT_FREE_0607,PCT_FREE_SUP_0607,NUM_FREE_SUP_0607,PCT_RED_0607,PCT_RED_SUP_0607,NUM_RED_SUP_0607,PCT_PAID_0607,PCT_PAID_SUP_0607,NUM_PAID_SUP_0607,NUM_FREERED_0607,PCT_FREERED_0607,PCT_FREERED_SUP_0607,NUM_FREERED_SUP_0607,enroll_0506,enroll_lunchF_0506,enroll_lunchR_0506,enroll_lunchP_0506,PCT_FREE_0506,PCT_FREE_SUP_0506,NUM_FREE_SUP_0506,PCT_RED_0506,PCT_RED_SUP_0506,NUM_RED_SUP_0506,PCT_PAID_0506,PCT_PAID_SUP_0506,NUM_PAID_SUP_0506,NUM_FREERED_0506,PCT_FREERED_0506,PCT_FREERED_SUP_0506,NUM_FREERED_SUP_0506
01103,332,29,2,301,8.7,8.7,29,.6,-1.0,-1,90.7,90.7,301,31,9.3,9.3,31,26.00,316.00,3.00,345,7.5,7.5,26,.9,-1.0,-1,91.6,91.6,316,29,8.4,8.4,29,337,16,8,313,4.7,4.7,16,2.4,2.4,8,92.9,92.9,313,24,7.1,7.1,24,346,13,6,327,3.8,3.8,13,1.7,1.7,6,94.5,94.5,327,19,5.5,5.5,19,346,8,6,332,2.3,2.3,8,1.7,1.7,6,96.0,96.0,332,14,4.0,4.0,14,362,10,3,349,2.8,2.8,10,.8,-1.0,-1,96.4,96.4,349,13,3.6,3.6,13,337,12,0,325,3.6,3.6,12,.0,-1.0,-1,96.4,96.4,325,12,3.6,3.6,12
01104,344,8,5,331,2.3,2.3,8,1.5,1.5,5,96.2,96.2,331,13,3.8,3.8,13,5.00,356.00,4.00,365,1.4,1.4,5,1.1,-1.0,-1,97.5,97.5,356,9,2.5,2.5,9,363,7,1,355,1.9,1.9,7,.3,-1.0,-1,97.8,97.8,355,8,2.2,2.2,8,381,6,2,373,1.6,1.6,6,.5,-1.0,-1,97.9,97.9,373,8,2.1,2.1,8,363,2,0,361,.6,-1.0,-1,.0,-1.0,-1,99.4,99.4,361,2,.6,-1.0,-1,357,2,1,354,.6,-1.0,-1,.3,-1.0,-1,99.2,99.2,354,3,.8,-1.0,-1,358,1,2,355,.3,-1.0,-1,.6,-1.0,-1,99.2,99.2,355,3,.8,-1.0,-1
01105,546,27,5,514,4.9,4.9,27,.9,.9,5,94.1,94.1,514,32,5.9,5.9,32,10.00,544.00,7.00,561,1.8,1.8,10,1.2,1.2,7,97.0,97.0,544,17,3.0,3.0,17,535,17,7,511,3.2,3.2,17,1.3,1.3,7,95.5,95.5,511,24,4.5,4.5,24,469,9,8,452,1.9,1.9,9,1.7,1.7,8,96.4,96.4,452,17,3.6,3.6,17,510,12,6,492,2.4,2.4,12,1.2,1.2,6,96.5,96.5,492,18,3.5,3.5,18,518,10,7,501,1.9,1.9,10,1.4,1.4,7,96.7,96.7,501,17,3.3,3.3,17,504,14,6,484,2.8,2.8,14,1.2,1.2,6,96.0,96.0,484,20,4.0,4.0,20
01106,1126,41,10,1075,3.6,3.6,41,.9,.9,10,95.5,95.5,1075,51,4.5,4.5,51,39.00,1102.00,15.00,1156,3.4,3.4,39,1.3,1.3,15,95.3,95.3,1102,54,4.7,4.7,54,1133,26,14,1093,2.3,2.3,26,1.2,1.2,14,96.5,96.5,1093,40,3.5,3.5,40,1158,24,14,1120,2.1,2.1,24,1.2,1.2,14,96.7,96.7,1120,38,3.3,3.3,38,1129,22,17,1090,1.9,1.9,22,1.5,1.5,17,96.5,96.5,1090,39,3.5,3.5,39,1122,17,20,1085,1.5,1.5,17,1.8,1.8,20,96.7,96.7,1085,37,3.3,3.3,37,1095,8,13,1074,.7,.7,8,1.2,1.2,13,98.1,98.1,1074,21,1.9,1.9,21
01108,791,37,15,739,4.7,4.7,37,1.9,1.9,15,93.4,93.4,739,52,6.6,6.6,52,28.00,737.00,14.00,779,3.6,3.6,28,1.8,1.8,14,94.6,94.6,737,42,5.4,5.4,42,777,23,11,743,3.0,3.0,23,1.4,1.4,11,95.6,95.6,743,34,4.4,4.4,34,805,29,7,769,3.6,3.6,29,.9,.9,7,95.5,95.5,769,36,4.5,4.5,36,835,20,10,805,2.4,2.4,20,1.2,1.2,10,96.4,96.4,805,30,3.6,3.6,30,862,20,13,829,2.3,2.3,20,1.5,1.5,13,96.2,96.2,829,33,3.8,3.8,33,865,12,13,840,1.4,1.4,12,1.5,1.5,13,97.1,97.1,840,25,2.9,2.9,25
01109,261,10,5,246,3.8,3.8,10,1.9,1.9,5,94.3,94.3,246,15,5.7,5.7,15,7.00,270.00,3.00,280,2.5,2.5,7,1.1,-1.0,-1,96.4,96.4,270,10,3.6,3.6,10,273,8,0,265,2.9,2.9,8,.0,-1.0,-1,97.1,97.1,265,8,2.9,2.9,8,266,4,1,261,1.5,-1.0,-1,.4,-1.0,-1,98.1,98.1,261,5,1.9,1.9,5,261,11,2,248,4.2,4.2,11,.8,-1.0,-1,95.0,95.0,248,13,5.0,5.0,13,239,5,3,231,2.1,2.1,5,1.3,-1.0,-1,96.7,96.7,231,8,3.3,3.3,8,239,4,1,234,1.7,-1.0,-1,.4,-1.0,-1,97.9,97.9,234,5,2.1,2.1,5
03104,546,152,56,338,27.8,27.8,152,10.3,10.3,56,61.9,61.9,338,208,38.1,38.1,208,154.00,322.00,52.00,528,29.2,29.2,154,9.8,9.8,52,61.0,61.0,322,206,39.0,39.0,206,523,145,46,332,27.7,27.7,145,8.8,8.8,46,63.5,63.5,332,191,36.5,36.5,191,538,138,46,354,25.7,25.7,138,8.6,8.6,46,65.8,65.8,354,184,34.2,34.2,184,566,121,47,398,21.4,21.4,121,8.3,8.3,47,70.3,70.3,398,168,29.7,29.7,168,582,85,69,428,14.6,14.6,85,11.9,11.9,69,73.5,73.5,428,154,26.5,26.5,154,636,100,54,482,15.7,15.7,100,8.5,8.5,54,75.8,75.8,482,154,24.2,24.2,154
03105,469,70,45,354,14.9,14.9,70,9.6,9.6,45,75.5,75.5,354,115,24.5,24.5,115,92.00,352.00,43.00,487,18.9,18.9,92,8.8,8.8,43,72.3,72.3,352,135,27.7,27.7,135,462,76,34,352,16.5,16.5,76,7.4,7.4,34,76.2,76.2,352,110,23.8,23.8,110,457,54,19,384,11.8,11.8,54,4.2,4.2,19,84.0,84.0,384,73,16.0,16.0,73,437,60,28,349,13.7,13.7,60,6.4,6.4,28,79.9,79.9,349,88,20.1,20.1,88,363,58,44,261,16.0,16.0,58,12.1,12.1,44,71.9,71.9,261,102,28.1,28.1,102,363,53,42,268,14.6,14.6,53,11.6,11.6,42,73.8,73.8,268,95,26.2,26.2,95
03107,362,123,25,214,34.0,34.0,123,6.9,6.9,25,59.1,59.1,214,148,40.9,40.9,148,134.00,198.00,29.00,361,37.1,37.1,134,8.0,8.0,29,54.8,54.8,198,163,45.2,45.2,163,338,93,28,217,27.5,27.5,93,8.3,8.3,28,64.2,64.2,217,121,35.8,35.8,121,336,100,39,197,29.8,29.8,100,11.6,11.6,39,58.6,58.6,197,139,41.4,41.4,139,314,82,33,199,26.1,26.1,82,10.5,10.5,33,63.4,63.4,199,115,36.6,36.6,115,283,61,41,181,21.6,21.6,61,14.5,14.5,41,64.0,64.0,181,102,36.0,36.0,102,299,66,35,198,22.1,22.1,66,11.7,11.7,35,66.2,66.2,198,101,33.8,33.8,101
03108,339,89,24,226,26.3,26.3,89,7.1,7.1,24,66.7,66.7,226,113,33.3,33.3,113,98.00,215.00,29.00,342,28.7,28.7,98,8.5,8.5,29,62.9,62.9,215,127,37.1,37.1,127,368,91,27,250,24.7,24.7,91,7.3,7.3,27,67.9,67.9,250,118,32.1,32.1,118,398,68,46,284,17.1,17.1,68,11.6,11.6,46,71.4,71.4,284,114,28.6,28.6,114,399,59,30,310,14.8,14.8,59,7.5,7.5,30,77.7,77.7,310,89,22.3,22.3,89,441,48,27,366,10.9,10.9,48,6.1,6.1,27,83.0,83.0,366,75,17.0,17.0,75,379,45,28,306,11.9,11.9,45,7.4,7.4,28,80.7,80.7,306,73,19.3,19.3,73
